usr_code,title,review,rating,place,travel_date
thomasbones52,Current display of first responder vehicles,"I also enjoy revisiting the permanent display vehicles, like the DeLorean and the self-sustaining car.",40,San Diego Automotive Museum,February 2017
Helen B,Awesome!,"Wasn't sure what to expect but was pleasantly surprised. They have some great displays there. Took my two year old grandson who spent time trying to figure out why the mannequin police officer wouldn't say ""hi"" back to him. :) The Steve McQueen display was amazing. Have a passion for motorbikes and was surprised at how many were on display. The museum is small museum but they have some awesome automobiles and motorbikes. Was intrigued by Louis Mattar's car as I had never heard about it before. Will definitely go back and put it on the list to take my folks to next time they visit. Dad has a bigger passion for motorbikes than I do so I know he will love the bikes on display.",50,San Diego Automotive Museum,February 2017
Emory B,Balboa Park Visit,"The SD Auto Museum has a small number of permanent cars on display and a number of cars on display that are by invitation.  The invitation auto's change every few months.  Nice collection of vehicles which can be seen in about two hours, so you have time to visit other museums in the park.",40,San Diego Automotive Museum,April 2016
Jerry L,San Diego Automotive Museum,"This museum (adjacent to the San Diego Air and Space Museum) contains a mixture of all different vehicles. When we were there, Steve McQueen's motorcycle collection was on special display, along with numerous other 4 wheeled vehicles. It is definitely worth a look. Discount coupons can be found in visitor's brochures. ",50,San Diego Automotive Museum,February 2017
RU4NJ,Small but interesting,"It is definitely worth a short visit to this auto museum; there was a nice selection of motorcycles with interesting histories, including Steve McQueen's collection. The auto collection wasn't extensive but was very interesting. My wife and I spent about one hour in this museum and for the $6 fee it was worth the price of admission.",30,San Diego Automotive Museum,February 2017
MorenaErik,Simple and Fun Tour,We live in San Diego and got the tour Groupon just for fun. It was a great tasting experience and cool setup. I especially liked that we got beer samples both before and after the actual tour. Steven was a fun and informative tour guide. I would definitely recommend the tour for anyone passing through or living in the area. The hard root beer was a personal favorite.,50,Mission Brewery,October 2015
ahappyspark,Beautiful,Not crowded. Even with 'June gloom' it was great esp for kids. Clean. Free parking if you come early. Can walk beach south to Encinitas easily. ,50,South Carlsbad State Beach,June 2013
SueRoesner,Love the beach!!,"Nice camping spots on the cliffs above the water, with beach available via stairs down the cliff side. Some spaces have hookups - our favorites are those on the outer loops overlooking the water. South end has no hookups, but it's a straight walkout to the water. Nice.",40,South Carlsbad State Beach,July 2013
KarineNordly,Beautiful beach!,"My kids loved the beach.  Great sand; wonderful waves.  Great spot to just take in the view, camp or surf!",50,South Carlsbad State Beach,July 2013
ianwyj,A hidden architectural gem,"This oft-overlooked but still operational station serves the local San Diego Trolley, regional Coaster line, and Pacific Surfliner train of the Amtrak network.  Celebrating its centenary this years, the building bears an architectural style that bears a resemblance to colonial Spanish and Mexican buildings.  Its whitewashed exterior features a pair of bell-towers, each of which is capped with a tile-covered dome.  There's an airy sense of space inside with a high multi-beam arched ceiling.  Look at the walls and you'll find them covered with a tiled panels with a design that celebrates San Diego.  Overall, a beautiful find that harkens back to a simpler age",40,Santa Fe Depot,January 2015
Petr K,Unique piece of architecture,What is with the long line of Amtrack passangers lining up outside the gates?,50,Santa Fe Depot,May 2015
StephenP783,Beer Pilgramige in SD,It's all about the Beer and SD is an awesome place to find those true craft beer havens.  We went in the lat afternoon to try Alesmith's selection and were very pleased.  Sample prices were great and it gave us an opportunity to try things we can't get in our hometown.  You will need a car to get here if from out of town but definitely worth the trip if you are a beer lover and enthusiast.,50,AleSmith Brewing Company,October 2014
AttyPaulM,Wow... (and that's coming from a beer snob.),"There were many very good breweries I visited (Rip Current, Societe, Ballast Point, etc.), but AleSmith was in another league.  All of their brews were amazingly well balanced and tasty.  Exceptionally well done.",50,AleSmith Brewing Company,November 2014
RChop,Good but small auto museum.,"We went here to look at the station wagon exhibit. The venue is small but there are a variety of vehicles-motorbikes, cars, and trucks. The staff are helpful and the admission charge is $9.00. A car enthusiast would enjoy their time here.",40,San Diego Automotive Museum,November 2016
Omar N,Small but still cool,"The collection on display is pretty small but nevertheless still awesome! If you're a car enthusiast you will enjoy killing sometime here looking at the current collection on display. If youre looking for something huge and outrageous this isn't it, its more of a quality over quantity kind of deal. The staff was pretty nice, and informative the only thing that I would like to see different is that the souvenirs were outrageously priced.",30,San Diego Automotive Museum,November 2016
Alexandra T,Small but well designed,"The San Diego Automotive Museum is in Balboa Park, so there is a lot of free parking available. The special exhibit was about station wagons. There were old commercials from the 50's about the newest and latest do-it-all car, and quite a few examples of station wagons through the decades. There is also a motorcycle display and a wonderful display of Louie Mattar's $75,000 car. Louie bought a 1947 Cadillac and in 1952 drove it non-stop from San Diego to New York and back! The actual Cadillac is on display with a video detailing his spectacular car and subsequent interviews with Louie. He is a CHARACTER! ",50,San Diego Automotive Museum,November 2016
Theresa B,Was our favourite museum in the Park,Definitely worth the visit.,40,San Diego Automotive Museum,December 2016
JintheCleave,Not a bad visit for the price.,Had a little free time but short on cash while in San Diego. Stopped in here to see some old cars. Not pricey at all. They had a station wagon exhibit. Some interesting cars on display. Good for a rainy day.,30,San Diego Automotive Museum,December 2016
b_nestor2,Fun,"We went to visit our friends in San Diego and stopped at Ale Smith for a beer. There was an excellent selection. It was very busy, so I wish there were a few more tables, but we were able to find a counter to stand at without much difficulty. I really enjoyed the laid back atmosphere. People even had their dogs and kids with them! They have sodas and water for people not wanting to drink beer. No kitchen, but they have food trucks scheduled that you can buy from and bring in! Overall I really enjoyed it.",50,AleSmith Brewing Company,December 2014
PartsUnknown4Evr,Wow  how fun!,              ,40,Mission Brewery,January 2015
Allison D,Great Beach Camping Spot,"As many reviewers have noted, this is a great state park campground located on a bluff above the Pacific Ocean.  Overall, the sites are large and well maintained.  Ocean-front sites are $50 per night, while the inland sites (closer to Carlsbad Blvd) go for $35 a night.  Spend the extra $15 a night and reserve an ocean-front site - it's well worth it!!  Sites book up months in advance for the summer season, but you can usually get a spot during the off season.  Park rangers strictly enforce the 2 pm check-in time, so don't try to check in early.  Showers are plentiful and take tokens to operate.  Tokens are dispensed from a machine near the camp store and take bills only, no coins.  $1 will get you 2 tokens (6 minutes of shower time).  Don't worry if you forget something - the camp store is well stocked and there are plenty of stores within a two mile drive of the campground (including Costco).  Kick back, enjoy the view and watch pelicans soar by.",40,South Carlsbad State Beach,March 2013
DaveT80477,Lots of room,If you love to walk on the beach this is for you. Plenty of room for the kids to play. The sand was clean and the facilities too.,50,South Carlsbad State Beach,April 2012
Snarkysiberian,Best beach in San Diego,"One of the best beaches in San Diego area, clean, never too crowded like ones in San Diego itself, quiet, very nice. It actually stratches all the way from Torrey Pines almost to Oceanside Pier, so if you feel adventurous, you can take a long walk from La Jolla to Oceanside. ",50,South Carlsbad State Beach,April 2012
Kaitirawi,nice long beach,Well maintained and in good location. Try the fish restaurant located at the entrance to the beach then head one block south for a great frozen yogurt.,40,South Carlsbad State Beach,March 2013
coharahawk,Simply awesome beer,"Alesmith has a very strong reputation for brewing great beer within the craft beer community.   I've visited the brewery on 3 occasions now. They have remodeled significantly for the past few years.  They are located in an industrial park and you will likely be making a special trip there (unless you happen to work nearby). The tasting room consists of a fairly large area with oak barrels serving as cocktail tables.   The severs/brewery staff are all extremely friendly and willing to help you out with selecting beers. The draft list is always amazing with several rarities. The beer is served in $1 tasters that are about 2-3 ounces and allows you to try several beers.  There is no food.  This place is simply awesome, and I will make an attempt to visit anytime I'm in the SD area.",50,AleSmith Brewing Company,March 2012
account4fun,Great Brewery,Great beer and unique atmoshpere in this small brewery! The tastings were aslo very reasonably priced!,50,AleSmith Brewing Company,August 2012
Justin V,"Great beer, small space",Alesmith brews so many good beers that I don't even know where to begin. If you have never tried a beer straight from the tap at a brewery I suggest you do so. The smells and flavors you experience are on a whole other level than those of bottled beers. The tasting room can get a bit crowded and food is only available on Fridays via a food truck but it is well worth the sacrifice.,40,AleSmith Brewing Company,August 2012
nickberd,Great Auto Museum in Balboa Park,This museum is small but is known to change exhibits frequently and get some amazing cars for display. ,50,San Diego Automotive Museum,September 2016
RonVermont,Good visit,Not a large museum but they pack a lot of cars and motorcycles in the space they have. Have some movie cars.  Well worth the visit.,50,San Diego Automotive Museum,September 2016
BoogieBahnGrandad,Don't Waste Your Time,"We went expecting to see the Mustang Steve McQueen drove the the movie ""Bullitt"" and Bumblebee from ""Transformers.""  However, despite what was written in the brochure we got at our hotel, neither was there.  There were some interesting cars, but after visiting Dick's Classic Car Garage in San Marcos, Texas, this venue was lame.  We bundled this venue in our Go City Card purchase - thankfully admission was only $9.  I actually thought about asking for a refund, because of the false advertising.",20,San Diego Automotive Museum,September 2016
rmartin0815,Cloudy afternoon visit,"My wife and I visited the San Diego Automotive Museum on a cloudy afternoon when we decided not to go to the beach. We had a buy one, get one free coupon, so the admission was only $4.50 each. During this timeframe the museum had a special exhibit of autos used in movies or T.V. shows. I was able to take numerous photo's and we had an interesting conversation with one of the antique car owners who said he visits with customers one day a week. The museum included antique motorcycles as well as antique autos and special models of limited edition sports cars. It took a little over an hour to take it all in. It was a worthwhile visit that we both enjoyed for a very reasonable price.",50,San Diego Automotive Museum,September 2016
Icb1976,Not much there,They have a pretty good motorcycle collection but the car collection needs some serious help. They have a mirror on one wall that makes it look the size size it should be. We bought a groupon so it only cost us $4 each. The staff inside was really nice and willing to tell the history. It was just a ways out of down town to see such a small collection. Kids would probably like a few of the cars like the green hornet or the long distance car. ,20,San Diego Automotive Museum,October 2016
GreatTraveltime,Not so great,This place is small so everyone is packed in trying to squeeze their way up to the bar. There is no place to sit and the servers are not very friendly. I also did not care for any of their beers. This place ranks last on our four brewery tour.,30,AleSmith Brewing Company,April 2013
StephenE965,Serious beers to taste with food trucks to refresh your mouth !,"Holy Moses, what a great selection of beers....and you can taste them for a dollar or two each for 4oz glass..or buy a pint of your favourite. Well explained and sorted by alcohol % this is a beer drinker/masters paradise....just a bit out of the way in miramar but worth the detour...use a designated driver as some of these beers are wonderfully strong. Wow, coming back here on our way home !",50,AleSmith Brewing Company,April 2013
Helen T,Converted Wonder Bread Building,"They also have tours,but not when we were there.  The music was a touch loud, but overall it was a very fun experience.",40,Mission Brewery,April 2014
Rebekah A,Watch where you park.,"FYI, don’t park on the street in front of the brewery on Padre game days – you WILL get towed.  I work in a building nearby and we watch those tow trucks pull in and pull every car out. Park on National Ave or Commercial Street if you are within 3 hours of a baseball game.",40,Mission Brewery,May 2014
Susan B,Fishermen's Place,"Beach is rocky.  Lots of people fishing off the beach.  Small beach, with limited parking.  Lots of better beaches in San Diego.",30,South Carlsbad State Beach,March 2012
Heather S,Great beach,"Our family loves the beach and we visit this beach often.  Great for surfing, boogie boarding, people watching, making sandcastles, throwing a frisbee or just about anything else.  ",50,South Carlsbad State Beach,July 2012
terry g,Nice place and not crowded.,This was close to our hotel so that's why we chose it.  We went here twice.  Loved it.  The kids had a lot of fun.  It wasn't crowded either day but the parking is minimal.   Clean.,50,South Carlsbad State Beach,July 2012
SandyEggo4Fun,Who Needs a Pool When the Pacific Ocean is Your Backyard?,"this is our backyard beach and while it's gaining in notoriety, it's still one of the best beaches south of Camp Pendelton without having to go over the Coronado Bridge and deal with city traffic to get there. Parking is creative, often several deep if you don't use the State Parks lot but this is a really clean and family friendly beach. We're lucky to call it home.",40,South Carlsbad State Beach,August 2012
superbug_slayer,our neighborhood beach,"This beach is not as crowded as other beaches south of Carlsbad.  If you like to swim or boogie-board, however, you need to look for the 'black-balled' areas or you risk getting smacked by a surfboard...the lifeguards are not as strict about enforcing these areas as they are in Del Mar however. ",40,South Carlsbad State Beach,September 2012
aerostef,Fantastic,Knowledgeable staff and great atmosphere!,50,Mission Brewery,May 2014
Ryan M,Definitely a brewery to visit!,"This place is awesome/standard/alright all at the same time.  I always want to avoid drinking and driving, so the location is a shame for me, because I don't want to hang out in that area, but maybe it's getting better....  As far as many micro-brews, they have the standards: food truck grub option, growlers, t-shirts, etc...  What steals the show for me, they have some excellent stouts!  I've been on a bit of a stout kick for the past two years, and so far, in all of San Diego, for me, they have the best stout!  The Dark Seas Imperial Stout.  Very Rich!  Have fun!",50,Mission Brewery,May 2014
Simpsonatc22,Lost my business,We weren't sure where it was so we called and called and called. Nobody would pick up the phone so they clearly didn't want our business that badly. ,10,Mission Brewery,May 2014
Ronnie_texas67uk,Scobby Van!,Wasn't expecting much and greatly surprised by this gem of a museum. Well worth the visit. Now if they'd of allowed me to drive away in that .....,50,San Diego Automotive Museum,July 2016
xoft,Nice Rides!,Me and a couple of buddies spent a great couple of hours at the museum!! Killer scooter display! Lots of great TV/Movie cars! We had a blast!,50,San Diego Automotive Museum,August 2016
Danceteachernt,Fun Visit and Car History,Well this was a pleasant surprise !  So much fun especially looking at the movie and TV Hero Cars that you grew up watching!  Such variety of history cars and movie cars with a wonderful display of motorcycles too!  No one was bored today!  ,50,San Diego Automotive Museum,August 2016
GriseldaC2,Small but Good,"1st time going to any of the museums in Balboa Park. I took a nephew to this museum since he is into cars. It IS small, but decent. He really enjoyed the motorcycle exhibit. I enjoyed the Star Cars exhibit, short but nice.",30,San Diego Automotive Museum,August 2016
Columbus9,Absolutely Great,We found a Groupon to attend and it was worth way more than the price of admission.  There is a lot to read and experience.  A real diamond in the rough type of museum.,50,San Diego Automotive Museum,August 2016
sulphursister,Site 52 - Awesome spot!,"This is a nice larger campsite where the ocean is your backyard.    Went here on a Monday, and the campground was basically empty.....won't be the case after Memorial Day but it sure was a nice evening out with friends.   Site 52 is a great spot!",40,South Carlsbad State Beach,May 2013
J Warren R,Must visit while in San Diego,"Located in the old Wonder Bread factory, this brewery rocks.  Most if not all of their beers are available on tap.  After a flight of 4, the bartender took a few of us at the bar on a tour to show the whole production line.  Great to see an old facility be put to good use. Mission has an attractive setting, decent location downtown and friendly staff.  No food served on premisis so you’ll have to have a liquid meal or hope the food trucks come by.  Overall a fun place, with a wonderful selection of beer.",50,Mission Brewery,February 2015
Victoria K,Fun Tasting and Tour at Mission Brewery through a Groupon,"Bought a $17 groupon for my husband for tour and tasting for 2.  Very fun.  Only 13 people in the group - wide range of ages.  5 tasting samples - all of which were delicious and very generous!  Got a free glass at the end too.  No food, but food truck(s) outside - kind of fun!  Recommended for something different to do!  April 2015 - I still see the offer on Groupon!  Nice building - 100 years old - it was the original Wonder Bread Factory in San Diego!",40,Mission Brewery,April 2015
mr_hand,impressive beers from a low-key brewery.  the hard root beer is a home run!,"We were recommended this place by a lady we met and we were glad we checked it out.  We stopped in during a Padres game and there were only a couple other people inside.  The beers are good and they have plenty on tap.  The bartender was great, giving us samples and telling us of the history of the place.  We were told the hard root beer was one of their more popular beers - a combo of their porter and their root beer and it was awesome.  Can't wait to be able to buy it here in Texas.   Beers are reasonably priced here as well",40,Mission Brewery,April 2015
Louise M,More than just a tasting room!,"I usually can't find a lot of things to taste at a brewery as I am not much of a beer drinker.  They had so many options, like the hard root beer, that I had no trouble finding enough to make a tasting worthwhile!",50,Mission Brewery,April 2015
baywatcheroly,"Great selection, great pricing.",Enjoyed this small brewery.  Great selection.  Took the advice of the brew staff and tried their limited Speedway Stout with Jamaican Blue Mountain Coffee!!  EXCELLENT!  But we are there for the IPA's...and they were good too.  Taster's started at $1....,40,AleSmith Brewing Company,January 2015
jmiller559,Great Tasting Room,The AleSmith tasting room is a little off the beaten path but worth the search. Their selection is good with a large group that are only available at the tasting room including a cask beer. ,50,AleSmith Brewing Company,January 2015
traveltoforeignlands,Reminiscent of old-time Hollywood movies!,"This was all due to the cap, the wonderful Santa Fe Depot with the old-time feel reminiscent of old Hollywood movies, and the graciousness of the engineer to pose with my son prior to our boarding the train.",50,Santa Fe Depot,September 2014
Walker S,Magnificent complex of California Spanish heritage,"Spanish Colonial Revival Style was used in the building to far surpass anything the Santa Fe Railroad had built in the West.  Opened in 1915 at a cost of over $300,000, the architects, Bakewell and Brown of San Francisco, drew on the Spanish, Moorish and Mexican lines exhibited by the Mission San Luis Rey de Francia, located in the town of Oceanside north of San Diego.  The grand interior of the depot features natural redwood beams and brightly colored ceramic tile wainscot.",40,Santa Fe Depot,September 2015
zmclain75,It's OK,"Don't go out of your way to see this Union Station, but if you're nearby, it's probably worth stopping in just to see it.  Make sure you aren't stopping in to use the restroom though, we couldn't find any for the public which is understandable considering the area and the homeless problem.",30,Santa Fe Depot,September 2015
pgm1212,Great Place For Young Kids! (Better for kids than the North Carlsbad Beach....),"We found this beach at the end of our stay, but really enjoyed.  There is a small break near the shore in shallow water so the kids can just stand there with their boogie boards and jump in front of the waves.  The bottom is all sand.  My kids were all novices but they had a great time.  We found this place on the last 2 days of the trip which were Saturday and Sunday and we went both days.  The beach was fairly crowded by mid day, but not uncomfortably so.  I wonder what it looks like during the week in terms of crowds...  Parking was a little tricky.  A lot of the locals like to park on the side of PCH because you don't have to pay, but this parking was filled up by the time we got there each day.  There is a pay parking spot ($15 for the day on weekends and you can pay by the hour on weekdays).  It is a little tricky to find and I drove by it the first time.  It is right at the end of the beach where there are a large amount of cars parked on the sand.  Right past this area is a small road that leads to the parking area so you want to veer right onto that... I have 5 year olds, a 9 year old, and a 12 year old.  They all enjoyed this beach very much.  They didn't really like the North Carlsbad Beach very much....",50,South Carlsbad State Beach,August 2013
SweetassOC,"Great Beach, OK Camping",The middle of the campground has the best beach with multiple stairways down.  The south end has a more rocky beach and the north end has fewer ways down to the beach.  I'd recommend you spend the extra money to get a cliff spot as opposed to the one nearer PCH.  Waking to the sound of waves is always a great thing.,40,South Carlsbad State Beach,August 2013
337justing,Great place to meet locals!,We ate at the food truck and tasted their yummy alcoholic root beer. Good place to meet locals and a pub you can bring pets too. ,40,Mission Brewery,May 2015
Kenmarsam,Good beer fun place,The beer at Mission is very good. We tried 7 different beers and didn't find one that wasn't a quality product. The building is very old but they have done a great job with it. The Hard Root beer was very good. Make sure you say hi to daisy the chocolate lab that serves as the official greeter.,40,Mission Brewery,September 2015
125brittanys,Great beer and great atmosphere!,This brewery is a MUST see!! I LOVE Mission Hefe and was so excited to go here and taste it from the source! The atmosphere is relaxed and chill and perfect for a great brewery experience! I love that the brewing equipment is visible and the staff was so friendly! We will be returning every SD trip we make! ,50,Mission Brewery,September 2015
DawnandPeteF,Good brew concepts,Nice brew house and tap room; an easy walk from the convention center.  Had the tasting flights and enjoyed each one.  The spiced amber seasonal was my favorite.  The staff was friendly as well.  They have different food trucks each day. ,40,Mission Brewery,October 2015
Tpolisher,Mmmmm beer!,"This review is for the Cabot Dr location. The brewery is small but they were getting ready to move to a new location. We really enjoyed spending time here, as the staff was friendly and knowledgeable and the beer was awesome! I always get a flight when I go to breweries and enjoyed all of them, but especially the Tony Gwynn.",50,AleSmith Brewing Company,October 2015
Ray H,Dog Friendly Brewery,"The new address on the web site is 9990 AleSmith Ct, San Diego, CA 92126.  If you are using an older GPS map, use the address at the top of this page (9368 Cabot Drive, San Diego, CA).  Just turn right at the Ashley Furniture showroom on Cabot..  You LITERALLY cannot miss it.",50,AleSmith Brewing Company,November 2015
travelosivi,Easy station,Bonus: Great views to the water!,40,Santa Fe Depot,January 2016
Alyfff,Nice station,A nice train station. It serves trains and trolleys. You can get onto the Pacific Surfer Liner here and enjoy a trip to LA along a beautiful scene by the coast.,40,Santa Fe Depot,January 2016
713kathleenw,very convenient to all major destinations,"Close to most hotels, business and shopping.  Located in a historic building, nice walk from most hotels and restarants.",50,Santa Fe Depot,January 2016
taffy_longman,From La to San Diego ,We are so pleased we caught the train it was a lovely journey and we returned to LA after 3 days in this lovely Harbour City ,50,Santa Fe Depot,February 2016
Karen S,Camping on the bluffs was extra nice,"We took the kids camping at S. Carlsbad State Beach campground on a beautiful, hot March weekend.  Our spot was huge and on the bluffs over-looking the ocean.  It was the perfect spot.  We were just a few spots away from the stairs to the beach (very convenient) and near the bathrooms.  The only reason I didn't give 5 stars was the dirty bathroom with no toilet paper and the confusion we had over shower tokens.  The shower tokens were minor but the bathrooms got pretty messy (the campground was full) and quickly ran out of toilet paper.  Fortunately, we always have extra tp with us (3 kids and all).  We loved it and can't wait to go back in June.",40,South Carlsbad State Beach,March 2014
CathyWalrath,Surf here!,"Excellent surfing here, wonderfully nice people throughout the Carlsbad area.the shops and restaurants are awesome!",50,South Carlsbad State Beach,August 2013
Fadi J,One of the best spots for viewing stunning sunsets,Majestic views and very clean beaches. Great dining options and plenty of free parking all around here.,50,South Carlsbad State Beach,March 2014
NeedPivo,Your Mission ... If You Choose To Accep It,"Your mission, if you choose to accept it......",50,Mission Brewery,November 2015
Lian A,Great ambiance and friendly staff,"Went here for the first time last week and was thoroughly impressed. Great beer list, really quality food with big portions and a very friendly staff. The place has a great feel to it and the overall atmosphere was fantastic. We need more great places like this. A true gem and worth the drive from Vancouver!",50,Mission Brewery,January 2016
Pete7919,Good beers but I wish they had food,I just wish it was easier to get food.  I had walked over from Gaslamp and it got a little dark and unwelcoming on the way.  Once I got there I needed some food and thus had to walk back to get some.  I understand there's often food trucks but none the night I visited.,40,Mission Brewery,February 2016
JDA60,A Must Visit for Beer Lovers,"A pleasant ambiance right in the brewery with space for over 300 people. They offer a wide and varied selection of their beer on tap, many of which are excellent. Their staff are friendly and extremely knowledgable. Not in the best part of town but easily walkable from most hotels. The only knock is they don't serve food. ",40,Mission Brewery,February 2016
StuartGustafson,Great Brews and Atmosphere,"We went to AleSmith primarily because of their 394 Pale Ale (that honors Tony Gwynn's 1994 Batting Average of .394). We sampled a few others, such as the Spring Bock and the Speedway Stout (that one's a bit heavy for me!). Everyone was quite friendly and I'm looking forward the opening of the Tony Gwynn Pavilion that they're assembling!",50,AleSmith Brewing Company,May 2016
HollyBerryElf,charming old station .. sadly overshadowed by skyscrapers,"a place to see some of the charm of old-time train travel ... lots of ceramic tiles on the walls, Spanish style arches for the side rooms and overhead, even some of the old signs (such as the ""Ladies Waiting Room"").  Sadly San Diego has chosen to let new construction intrude on the station so you miss much of the charm.  A sad loss ....",40,Santa Fe Depot,June 2016
Winrow1,Historic,"This is full of great stories and legends of San Diego, fun place to visit for locals, tourists and kids love trains!",50,Santa Fe Depot,June 2016
kiwilelei,San Clemente bound- daytripping,The way train travel should always be and as i have always enjoyed! I loved the old smokers!!,40,Santa Fe Depot,June 2016
Sue53_11,Lovely old building,This is the ticketing office for Amtrak. Helpful staff and lovely old building. Catch green trolley here to go to Old Town and Fashion Valley. The Coaster also leaves from here to get to Oceanside,40,Santa Fe Depot,July 2016
Marc I,Unexpected Gem,It's free! They have a lot of interesting artifacts here.  One room has a large assortment guns.  They have old police cruisers & a helicopter that you can get inside.    ,50,Sheriff's Museum,July 2013
bettywhill,Enjoy beach front camping while staying close to civilization,"I've been camping at South Carlsbad State Beach many years... never get tired of it. You can enjoy a breathtaking view of the beach; stroll on the beach; play in the sand; swim in the ocean or surf... It's a nice place to relax while staying close to civilization. Supermarket and restaurants are walking distance. Weather is nice year round. Safe and friendly neighborhood. Perfect place for a weekend with family and friends. Pets are welcome, too!",50,South Carlsbad State Beach,May 2014
xxxraigoxxx,Misinformation on Location ,"To whomever put the directions ""update it"" or do not put misleading information. ",10,South Carlsbad State Beach,May 2014
Argmex,Very nice beach!!!,"very nice and family beach. We spent a day there and we loved it. Good and quiet to go with kids. There are some stones in the beach, good to play with!!",50,South Carlsbad State Beach,August 2014
NWTravelerz,Fun Brewery to Check Out,"We went here a couple times during our stay in San Diego, mostly because it had great beer and it was close to where we were staying. I enjoyed a flight both times, because there was just too much to choose from! (Their hard root beer is definitely work trying, even for beer fans.) Rustic warehouse setting with no outdoor area that I saw, so bring a jacket if you're used to the San Diego heat. No food served, although they offer chips and salsa and some bagged snacks. Still, we spent hours here and loved it!",50,Mission Brewery,February 2016
Q9746SLjessicah,Craft Beer,"Went to this place a few times during our stay, they had lots of different craft beers you can try. The root beer was amazing! A great atmosphere and friendly staff in a lovely rustic setting.  A must for beer lovers.",50,Mission Brewery,May 2015
nissan1515,Beeeeeeeeeeeeeeer!,"I like this new Mission brewery location. lots of parking street and a pay lot. The brewery was hosting my University Alumni Event.  Because I had to drive home I chose one Low alcohol Beer. It was ""El Conquistador Session IPA"" , low IBU, and alcohol. Which is different form most of other San Diego IPAs. It was good.  The location was an old bakery and now a brewer Yea to keeping the Yeast.",30,Mission Brewery,February 2016
PROF_CONSULTANT,GOOD PLACE TO GO AND RELAX,Went there for a business party.  Good food and drinks.  Craft beer their specialty but they also had some great wines - AT REASONABLE PRICES.,50,Mission Brewery,April 2016
586wendyz,RE: Cool place & good beer,The brewery location is a bit sketchy in terms of the area but there is ample parking close by. It is housed in an old Wonder bread factory which is really cool. The high wooden ceilings with sky lights and chandeliers are beautiful. There is a large bar and a lot of big tables so plenty of space to gather and hangout. We like to do flights and really liked all of the Mission beers we tried. We collect pint glasses and the logo is cool so that was a bonus. We enjoyed the vibe & we would definitely go back.,40,Mission Brewery,May 2016
rumcreme,Best SD Brewery i visited,Recommended.,50,AleSmith Brewing Company,July 2016
Albywon,Iconic building,"Still fully functional in addition to the beautiful facade. Very like LA Union but on a much smaller scale. Didn't have long here but hope to use it in the future as very close to Little Italy, the USS Midway Museum and the shoreline.",50,Santa Fe Depot,August 2016
TallTexWally,Historic Train Station in Downtown San Diego,"The Santa Fe Depot is one of the most outstanding historical railroad stations in California.  It was opened in 1915 to handle the many visitors coming to San Diego for the Panama-California Exposition in Balboa Park.  It was built on a grand scale in the Spanish Colonial Style.  It's still a fully functional railroad station, with Amtrak trains arriving and departing daily, as well as the busy San Diego Trolley stopping here.  The interior is large, with many interesting architectural features.  It's located at 1050 Kettner Blvd.  Pacific Highway and San Diego Bay is just to the west.  Broadway, which heads east through the heart of downtown San Diego, is just to the south.  A lot of historic train stations across the USA have either been abandoned or torn down.  I'm glad San Diego still has the Santa Fe Depot intact, and it is worth a visit.",50,Santa Fe Depot,June 2016
LiketoeatCincinnati,Iconic Train Station,Old Santa Fe train station is very cool to see while in San Diego.  The old tile murals are wonderful. This is a working train station with trains available to all parts of California. ,40,Santa Fe Depot,September 2016
Oldjack,Beautiful Old Station,It is a beutiful old building at the end of the rail road tracks in downtown San Diego. just two blocks back from Harbor Drive and the ocean.The San Diego trolley has a more moidern station adjacent to it. Sadly the high rise buildings are developing nearby and this land mark may be lost from a harbor view.,30,Santa Fe Depot,October 2016
Michael H,The California Coaster,"We arrived by ship, and it was only a few blocks to the Santa Fe Station. There we boarded an AMTRAK train which would honor our California Coastal online pre-purchased tickets. Don't sweat the cost (Seniors 3-zone RT $5.50), it's the bargain of the century. For a nice, relaxed, scenic ride up to Oceanside with 7 other destinations provided, the Coaster is the way to go. Best of all, you avoid all the traffic congestion in the area. Our ride back was on a California Coaster train.",50,Santa Fe Depot,October 2016
Clherbe,Loved It!,I highly recommend visiting this museum!,50,Sheriff's Museum,September 2014
Asphaltman,Awesome !!!!!,"We have seen this place on previous trips but never made it in.  I am disappointed because it is really cool.  They have lots of law enforcement displays, and several photo opp's.   The volunteer staff are awesome, and always willing to share a story or snap a pic.  They also have a nice gift shop.  We spent about an hour there and it was well worth it.  Right in Old Town on the East side.  I will for sure do this again next trip to San Diego. ",50,Sheriff's Museum,October 2014
SallyM265,Fantastic Museum in Honor of Our Badged Heroes! ,A MUST SEE on any visit to San Diego! Thanks to all of you at the Sheriff's Museum of Old Town San Diego for SUCHH an enjoyable and educational afternoon!,50,Sheriff's Museum,October 2014
nilsthulin,Waow what a place,"i meet with the founder, when he retired he baught a building and started to build and renovate this fantastic museeum. If you are in Old Town san diego you must pay this museeum a visit, i am so amazed.",50,Sheriff's Museum,March 2015
Jonathan M,Amazing dance show!,"I loved watching Beyond Babel. It is an interactive, intimate, and well executed dance performance. Keone & Mari are incredible, and their dance community absolutely pulled it off.",50,Beyond Babel,December 2018
Bridgette D,Incredible,"Beyond Babel was my first live dance performance outside of friends kids recitals I have seen. It is beyond incredible! The show is so moving. It’s a performance that made me what to move, hear the behind the choreography story and see much much more! There was a great variety of music and style of dancing that leaves you more than entertained. If you are looking for a true art experience while in SD this is a must see! Love love love it!",50,Beyond Babel,February 2019
