review,travel_date,rating,place,usr_code,title
Rock Creek Park is a very scenic part of the District of Columbia and is a nice place to spend some time in nature while you are visiting the city.   The zoo is also nearby.,October 2015,30,Rock Creek Park,buffalojim67,Beautiful part of N.W. district
Quite amazing to be staying in the heart of DC for business and then be able to just put on some trainers and go running in the beautiful nature of Rock Creek Park.,April 2016,40,Rock Creek Park,Vince123abc,Beautiful place to go running
"This place is really off the beaten path and not easy to get to (or find!) but the effort is well worth it. Go in July when the lotuses are blooming - it is magical. Magical! Make sure to go early in the day so that the flowers are still open (they close up when it gets too hot). Also, keep your eyes open for bald eagles - I saw one sitting in a tree during one of my visits!",July 2013,50,Kenilworth Park and Aquatic Gardens,Mari818,More people should go here!
"Greatest urban park in the country.   Explore the trails, the bike path, skip some stones in the creek, walk your dog on a leash, toss a frisbee, reserve a picnic site for a kid's birthday party or team get-together.  Bike trail in Maryland just updated, repaved.  Ride from the monuments downtown north, connecting to other trails, all the way to Lake Needwood.  ",April 2016,50,Rock Creek Park,OntheRoadMom,"Go often on foot, bike"
It is a waterflower park with some small ponds and one large. Also it does have nice walking trails that go all the way to the Anacostia River and a very nice boardwalk that have special places where one can stand and watch birds and plants. The flowers blooming in the months of May-June and are open in the morning until temperature reaches around 88 F. Don't miss boardwalk since it's entrance is hidden at the end of the small ponds !! Enjoy it!!,July 2013,40,Kenilworth Park and Aquatic Gardens,darwinsail,"Beautiful early morning walk, don't miss the Boardwalk !!"
This is a good way to get around and see the city. With many park and rides just outside to save driving in the terrible Washington traffic. Also some very interesting stations to take pictures.,September 2018,40,Washington Metropolitan Area Transit Authority (Metro),Scott8446,Nice
"What an oasis in such proximity of DC! What am I saying, it is in DC! 20 minutes drive from downtown.  Lovely ponds and flowers and Canada geese.  Only close 3 days a year.  Depends on how cold and how warm the spring is, so cannot say for sure which month one will see the Lotus and water lily.  No entrance charge or parking fees, great walk around the gardens.",May 2014,40,Kenilworth Park and Aquatic Gardens,Superlegalbabe,A small oasis inside DC!
"Overall, a fairly good service, but put up a damn sign or 2 guys!",September 2018,30,Washington Metropolitan Area Transit Authority (Metro),liamkelly254,Fast but expensive and slightly confusing
"Senate and House Office Buildings are located in two areas, the The House Chamber (also some meeting rooms) and the Senate Chambers (some meeting rooms) and offices of some senior members are located at the Capitol Building; Senate on the North side and House on the South side. The majority of members of the Senate and the House have offices outside the Capitol building. The Senate buildings are Russell, Dirksen and Hart on Constitution Avenue.  The House buildings are Cannon, Longworth and Rayburn on Independence Avenue. To see the old House and Senate Chambers, visitor must join the tour offers by the U.S. Capitol Center.  To meet his/her representative and senator, travelers must register and request to meet with them at the Visitor Center, or call the office in Advance.  It is great to take personal tour to your reps offices if you have time.",October 2016,40,Senate and House Office Buildings,Prawet J,Place to see your reps in action
As we couldn't pre book tickets we were up early to ensure we got in. We were on the first tour of the day. Plenty of time to look around the hall area before our very knowledgeable guide took us on a fantastic tour. We moved easily from room to room. Had time to ask questions and take photo. Thoroughly enjoyed our visit. Cafe good for a quick snack.,October 2016,50,Senate and House Office Buildings,Heather G,A must visit if in the Capital
I hope in the future this imbalance will begin to diminish and more women’s works will find homes in both the National Museum of Women in the Arts as well as in the National Art Gallery in Washington DC .This sentiment also goes for all art galleries across our nation and in other nations around the world. ,May 2018,50,National Museum of Women in the Arts,lara p,Small thought provoking gem. 
"Visited this unique museum just 2 blocks north from Metro Center in D.C.  Five floors of good women's art---sculpture, paintings, modern objects.  It's art that I understood easily.  The building has a gift shop with objects made by women, restrooms on each floor, a cafe one level up from the street, a library, admin ofcs, elevators, and stairs.  Admission is $8 for seniors and $10 for all others.  There is a space for concerts on the 5th floor.  It's a great place to spend several good hours and there are other museums nearby in case you have time for more visiting.",June 2018,50,National Museum of Women in the Arts,J D,National Museum of Women in the Arts - Wonderful Women's Tribute
It was my first time visiting the museum. I was a guest for the Eleanore Roosevelt’s Human Rights Ceremony. The building is gorgeous. Not too big. The paintings did not interest me. ,June 2018,50,National Museum of Women in the Arts,lisathomascollins,Eleanore Roosevelt Award
"The museum is very nice and it is a great tribute for the work of female artists, however I was a bit disappointed by its size. I thought it would be bigger and have more pieces. Still worth a visit.",June 2018,40,National Museum of Women in the Arts,Lorrane C,Very nice but should be bigger
"My sisters and I loved this museum!  The building is gorgeous and the art collection is great.  We especially enjoyed the beautiful prints by Hung Liu.  Staff was very friendly and helpful suggesting a local restaurant after the cafe closed.  I learned that Sarah Bernhardt was an accomplished sculptor, as well as an actress.  The interactive art cards are a clever twist on the traditional museum guide.  The museum is child friendly.  Having just visited the Women Artists in Paris Exhibit at the Clark in Williamstown I have a new appreciation for the challenges faced by women on their artistic journeys. This museum is well worth a visit!",June 2018,50,National Museum of Women in the Arts,Laurie P,What if women ruled the world?
"The architecture is fabulous, only surpassed by the beautiful grounds. Excellent tour guide was amazing and made the tour a very informative and delightful experience.",October 2016,40,Franciscan Monastery of the Holy Land,desertsailor,Imoressive
"This is an underappreciated beautiful National Park.  there is a picturesque winding road, Rock Creek Parkway which joins Independence Avenue downtown up to the Maryland suburbs just northwest of DC.  Hiking and picnicking are probably the most common activities in the park, but there are hidden soccer fields, baseball diamonds, and even a horseback riding stables.  Within or adjacent to the park are an historic mill, an amphitheater--Carter Barron, which offers great outdoor plays to the public--and access to the National Zoo.  Teddy Roosevelt used to take foreign dignitaries on hikes, picnics and horseback rides through the park when he was President.",June 2016,50,Rock Creek Park,chinesesun,More Rustic Than Central Park; Vital to the Health of DC
"Visitors to Washington DC usually don't know that we have a swath of beautiful greenery that runs from the tidal basin to Silver Spring.  Lovely trees and hiking trails.  A beautiful creek and great wildlife from birds to turtles to deers and squirrels.   Lots of spaces for picnics, relaxing and hiking.  Even if you just drive thru, you will be impressed with Rock Creek Park.",July 2016,50,Rock Creek Park,barymad,DC'S Unhidden But Under Appreciated Park 
"we attended the CitiOpen at the Rock Creek Tennis Center with some friends.  Before we entered the tennis facility, we had a picnic in the park.  The park is beautiful and you would never know you are in the middle of a large city.  There is a stream running through it near a couple of picnic benches.  There is a main road that runs through the park as well that takes away from the park like experience, but the park itself is very pretty.  The tennis facility is very nice.  The side courts are great for a close up view of the action.  The stadium court is huge, but the court can be seen from the upper level.  Parking for the tennis tournament is tricky.  We had to park a distance away and take the shuttle bus to the center.  We had a great time and I will definitely return next year.",July 2016,50,Rock Creek Park,10isgirl,Beautiful Park and Great Tennis Facility
"I love running along Rock Creek Parkway because it is surrounded by greenery and I love how there is exercise equipment (very basic equipment like bars, but still). ",August 2016,40,Rock Creek Park,AlexandraS5337,Great place to run
Riding a horse through Rock Creek Park is something I enjoy as an escape from the city. The air is cooler in the shaded forest on a hot summer day. I can only imagine the beauty of fall! The equestrians at the Horse Center are knowledgeable and friendly. The setting and views are so much better from the saddle. The horses are so well cared for and have a sweet disposition. Going up (lean forward) and down (lean back) the hills was my favorite part. Giddy up!,July 2016,50,Rock Creek Park,NancyLCarpenter,Rock Creek Horse Trail Ride!
"After seeing the usual attractions in DC, you might want a peaceful place to hike.  Kenilworth Aquatic Gardens are beautiful - acres of lovely water lilies, boardwalks and trails between the ponds and areas to picnic and sit for a while.  Very peaceful, but only open until 5:00 p.m., so come early - and bring your dog!",August 2014,40,Kenilworth Park and Aquatic Gardens,DonnainSpringfield,Oasis right in DC
"But worth it for most everyone, except not wheel chair friendly.  Kids can run around searching for turtles and frogs, horticulture buffs will see an amazing variety of aquatic plants in the former commercial water garden, now this lovely park near the Anacostia River.  Bird watchers will be in heaven.  Locals love it for the uncongested peace and quiet and so do their dogs, but do bring your leash.  Personally, I would have enjoyed more explanatory sign posts about the life of a marsh and the different plant varieties, but others will like the lack of same.  So goes the world...",August 2014,50,Kenilworth Park and Aquatic Gardens,tahoekr,Off the beaten path...
"This is the only National Park devoted to aquatics.  The lotus ponds, lily ponds, wetlands provide opportunities to stroll and observe wildlife and blooms.  The boardwalk through wetlands is amazing...I happened to see flocks of redwing blackbirds, snowy egrets and Canadian geese (and things I couldn't identify).  It's a beautiful place to escape from the city, uncrowded, unpretentious.  Bring some water and a picnic (not much available on site).  ",August 2014,50,Kenilworth Park and Aquatic Gardens,waysidelynne,Wetlands Wonderland
We attended a confirmation hearing which we loved. Got to visit our Tx Rep. which we enjoyed very much! Maybe not a place to visit often but good for a 1 time trip!,January 2017,50,Senate and House Office Buildings,trackerem,Must see if you love politics!
"We didn't rent a car but used the Metro instead. It took us to within walking distance of where we wanted to go. Clean, comfortable and safe rides.",October 2018,40,Washington Metropolitan Area Transit Authority (Metro),oceanjules,Great to Get Around!
"A friend suggested this museum while in DC for a basketball tournament.  We absolutely loved it - the variety and edginess of the Women House exhibit.  From top to bottom we had a great experience.  Would have loved to have found a poster of one of my favorite worked in the gift shop, but didn’t get that lucky.  Highly recommend!  Well worth the $10 admission.",March 2018,50,National Museum of Women in the Arts,rebeccas981,Loved!
"It is truly rewarding to see a museum dedicated to the display of art created by women artists.  Housed in a truly magnificent building the exhibits are not over powering in scope, but cover a full range of genres.  It was impressive to see Works done by women during a time when women were not thought to be artists nor allowed to practice their craft.  An excellent museum with a well stocked gift shop should be included on one’s Washington to-do list.",March 2018,40,National Museum of Women in the Arts,Mike3521,SMALL BUT POWERFUL
I enjoyed my time because the sophisticated artwork was intriguing. But the collection seems weak. They need to collect more artwork from women painters,March 2018,40,National Museum of Women in the Arts,383_zges,Needs to be enriched with more artwork from women
"Be sure to check the library floor, which often has small exhibits, and the separate room on main floor, which also has special, limited - but often exquisite- exhibits. ",March 2018,50,National Museum of Women in the Arts,tannec,Always expanding my vision 
"We enjoyed this museum, but it is small.  It has some special exhibits, but we all felt that their should have been more.  You can tour the museum in 1-1.5 hours easily.",April 2018,40,National Museum of Women in the Arts,Petexian,Nice celebration of art by Women
Was invited over for picture when leaving White House for award. Didn't help still had to go through all security. Quite impressive had a tour here couple years ago. Heard about the inter workings here. Everyone's rushing everywhere.,April 2016,40,Senate and House Office Buildings,Lkrr99,Senate Visit
Take the bus tours. It makes it easy to go to other places in DC.  You can find discounted rates that will take you around to different areas.,July 2016,50,Senate and House Office Buildings,Keith L,Parts were closed
VISIT!   It will be worth your time!,August 2018,50,National Museum of Women in the Arts,Rokesly,"National Museum of Women in the Arts – visited Sunday, August 19, 2018"
"From Mary Cassat to the photography of Amy Lamb, a lovely way to spend some time in DC.",May 2018,50,National Museum of Women in the Arts,Diane Z,Small Museum kin WASHINGTON DC
"I would definitely purchase membership or pay the slight admission fee as I would love to see this Museum gain size and popularity.  I am thankful for this Museum as I learned a lot today - especially that women have always been in the arts, it's only recent history that their works of art have been recognized and exhibited. Bravo.",September 2018,50,National Museum of Women in the Arts,suemichel,Excellent Museum ~ a DC Must See
"Great tour, eclectic and inspired collection, definitely worth a visit when in DC. Highly recommend! ",September 2018,50,National Museum of Women in the Arts,abstill,Fantastic!
"All in all, go visit the Monastery!  Depending on how close to the tour time you arrive, I would say between 2-3 hours would be a recommended amount of time.",May 2017,50,Franciscan Monastery of the Holy Land,AMP0907,Amazing ...A few things to know before going....
"There was no preaching, no attempts to convert. I am simply saying for the non-practicer it would be boring. The views and the building itself on their own are not good or interesting enough for you to make the trip.",April 2017,30,Franciscan Monastery of the Holy Land,zodreb,Don't bother unless you are a good practicing christian/catholic
"Beautiful gardens, hidden grottoes and a magnificent church surrounding a Franciscan monastery in Northeast Washington near Catholic University, the Shrine of the Immaculate Conception and the Pope John Cultural Center. If you're Catholic, you might like to try Mass here.  Regardless, this is a quiet place for meditation and enjoyment.  The grottoes are replicas of tiny Holy Land chapels, and the large grotto is a replica of Lourdes.  There are also modern day underground catacombs, which are kind of cleaned up versions of the underground mazes you'll find in Rome.  And the gardens are just spectacular.  Right now (in late May), there are lots of roses in bloom and begonias everywhere.",May 2017,50,Franciscan Monastery of the Holy Land,DCMaryAlice,Little known refuge tucked away in Northeast
"The paths for jogging, the forest, stream, the wildlife is all still here.  It's a good place for a long walk or jog with less vehicle traffick then usual.  Places to picnic.  Would not go at night.",October 2016,40,Rock Creek Park,Chinapjs,Large parts of the roadway under renovation but..
"Fun and funky place with lots of activity. Insiders will be working with the horses but it appears that interested outsiders with respect for the animals can experience the presence of very special animals (as long as it does not get ""discovered.""",November 2016,40,Rock Creek Park,John B,Rock Creek Stable
"Unimaginable. Rock Creek Park has always been the backbone of Northwest Washington. There are so many ways to go in and out of the park to get to so many places, including to upper Northwest DC and into Maryland. It is large and beautiful, with many bridges, lush foliage, streams, birds and vistas. It is a refreshing way to explore Washington.",December 2015,50,Rock Creek Park,CalliopeClio,What Would Washington be Without Rock Creek Park?
"This museum is small, but had some very interesting displays.  Unfortunately, they were just getting ready to open a major special exhibition and the ""general exhibit"" really isn't that large.  I don't think it's worth $12 to visit given all of the other free museums in DC, but if you have an hour or two, it might be to you.  Luckily, they allowed me in for free (active duty military).",October 2017,40,National Museum of Women in the Arts,SCalCanz,Small But Interesting
"Also, the staff throughout the museum (and including in the shop) are always super nice. I suspect it takes a certain kind of person to decide “I want to work in a museum devoted to art by women” and that shows in their commitment to the place.",January 2017,50,National Museum of Women in the Arts,MuseumStoreShopper,History through a different lens
"I’ve visited this museum twice in the last 10 years and both visits were worth it. It is a small museum, but the installations are great. Go and walk around and be prepared to drop some money in the gift shop. It’s worth it. We had a good visit. ",October 2017,50,National Museum of Women in the Arts,ProfAragon,Lovely Museum
Visited museum for the first time this week.  Have been to DC numerous times.  My sister and I really enjoyed this museum.  The building is beautiful and is a great backdrop for the exhibits.  There is a library and a small cafe in the museum as well.  Worth visiting!,November 2017,50,National Museum of Women in the Arts,clarkelley,Excellent small museum
"We had not been to this gallery before.  The art was excellent, more focused on the late 20th and early 21st centuries.  Probably because women in art were much less conspicuous prior to that.  The quality of the pieces was outstanding, and the arrangement worked very well, top to bottom.  The space is beautiful, too.  The café was pretty basic, sort of slapped together, but that’s not why you come here.",November 2017,40,National Museum of Women in the Arts,Dana E,"Good art, interesting focus"
"A nice long park stretching from Maryland into Washington, D. C. Great for getting a little exercise for a few hours in a forested setting with some historical sites.",November 2016,40,Rock Creek Park,David B,A close escape from the urban metro
"July is the peak of the splendid lotus season in these aquatic gardens by the Anacostia River.  Slightly apart from the tourist hub in DC, they are worth the detour.  There is a 10 am tour offered by the Park Service, where you can learn about the lotus, water lilies, Anacostia watershed, and abundant wildlife.  We spotted a blue heron, several egrets, a beaver’s dam, and a variety of birds, including a small orange-brown hummingbird that may (or may not) be a Rufous quite far from its usual habitat.  To beat the heat and humidity, a morning walk is suggested.  Give yourself at least a couple of hours.  While the small Visitor's Center offers interesting information, there is no restaurant or cafeteria, which is not necessarily a bad thing. The picnic areas are large and well-shaded, so just pack a lunch.",July 2015,50,Kenilworth Park and Aquatic Gardens,Ana K,Spectacular fields of lotus flowers and more for free!
"Part of the DC experience is walking around and viewing the countless buildings, monuments, squares, statues and public spaces.  But if you need to get somewhere quickly....or, in my case, if it starts to rain...this is the way to go.  The ticket purchasing process is about the same as in most other cities...purchase a card, put some fare on it, add as you go.  So if you're used to that, it's status quo.  If it is your first time, it may be a bit intimidating at first.  But take your time and you'll figure it out.  Once through the turnstile, signs are somewhat small, so check the pillars for a listing of stops that the next train will be making.  And stay on the correct side of the platform.  Most stations are open and almost airy, especially the ones that have connecting trains.  Lots of up and down balcony type things.  Cars are clean, quiet and efficient, with an overall smooth ride.  As always, be mindful of your belongings.  Overall, a nice, efficient experience, especially when compared to some other metropolitan areas.",December 2018,40,Washington Metropolitan Area Transit Authority (Metro),ParkerSturbridge,"Parker says ""Great way to get around the city and environs."""
"This is a very clean, meticulously maintained subway system. Our subway here in NYC will never be on par to the DC Metro system. Definitely worth a ride when in the nation's capital. ",October 2018,40,Washington Metropolitan Area Transit Authority (Metro),TheSushiGuy,Nicest Subway in the USA
"Loved the DC metro system.  The metro stations were very clean, safe, and well kept.  The metro cars were also clean and safe.  It is easy to navigate your way around the DC area.  The trains ran very frequently every 5 to 15 minutes at the most.  There are sign boards in each station indicating when the next trains are arriving.  We stayed in Arlington and had a 25 ride into the mall area.  Very smooth ride.  I would not try to drive in DC - very congested at times.  The metro is the way to go.  ",December 2018,50,Washington Metropolitan Area Transit Authority (Metro),russcox,Great Way to Get Around DC
The place is also not efficient in time for processing anything or anyone.,July 2018,20,Washington Metropolitan Area Transit Authority (Metro),americanpatriot73,Don't take pics!
Relatively easy to find your way around here.  They have numerous (free) water fountains that can be very valuable in the summer.,June 2017,40,Senate and House Office Buildings,JoeNathan9249,"Beautiful building, build in time to go through security"
"Headed into the Russell building to meet up with our Senator for passes to the Congress and Senate chambers over in the Capitol. After passing through security, we were basically on our own to roam the halls. Everyone we encountered was very helpful, especially when we got a bit lost after trying to navigate through the building's touch-screen menu.",July 2017,50,Senate and House Office Buildings,BrianDani,Beautiful Building
Take your time to visit the Capitol and surrounding buildings and the US Supreme Court.  Have a flag flown over the capitol as a gift,July 2017,50,Senate and House Office Buildings,lawlady271,Make an appointment to see your states representatives
This is a gorgeous place. The staff was very helpful and accommodating. The recognition of art by women artists is wonderful!,October 2018,50,National Museum of Women in the Arts,charla0808,Beautiful!
"Also, the size of the collection makes it very accessible.  There were very few people at the museum the afternoon I visited, so it was a nice break from the crowds.",October 2018,50,National Museum of Women in the Arts,piperBSlinger,Great Art & the Stories of Great Artists
"I would never had found this without being invited to a reception here, but now I know. This is a fantastic gallery with works by almost every important female artist. Well displayed with contextual information and space to appreciate it. Not a large museum, but very thoughtfully and tastefully done. The lobby is magnificent. ",October 2018,50,National Museum of Women in the Arts,ButchsTravels,Wonderful museum 
"The museum is small in size compared to a Smithsonian art museum. Nevertheless, it contains magnificent art from the 16th through the 20th centuries and a number of contemporary pieces, all created exclusively by women. I thought I would spend an hour, but was captivated by the art and stayed for 3 hours. I found the museum’s staff to be informative and willing to engage in conversation about the exhibits. It was a wonderful find. I highly recommend a visit.",July 2017,50,National Museum of Women in the Arts,LouisM565,A Wonderful Find
I was drawn to this museum to pay homage to women artists. The lady at the front was very helpful telling me all there was too see. I enjoyed most of it....I social exhibit was not my taste but I still checked it out. Did see a couple of my favorites which was good.,July 2017,40,National Museum of Women in the Arts,BritVeggie,Honoring wondering in art
I have to say this was pretty low on the list when I was planning my trip! I'm SO GLAD we decided to go because it's on of my favorite places I've seen in DC. It has a broad range of art and is very visually stunning. I loved it. If you are a woman with any interest in art- you need to go! ,August 2017,50,National Museum of Women in the Arts,Haleigh H,Don't miss this!! 
"By the other hand, the library is a box full of surprises for everyone. There is so much we don't know!!! And this museum is a beginning of a lot more to be discovered, go for it! ",August 2017,50,National Museum of Women in the Arts,Rajchapagain6,AMAZING MUSEUM 
It's a great place if you love art. Even better if you love empowerment. ,April 2017,40,National Museum of Women in the Arts,KPMcClave,Important 
The mission of this museum to showcase art by women is fantastic given how few women get their art into regular museums. The permanent collection is magnificent and the temporary exhibits tend to be very inspiring. The building is splendid. Check out the sculptures on NY Avenue as well. Kudos to the founders and curators and thank you for shining the light on women artists for a change!,October 2018,50,National Museum of Women in the Arts,CeciT_13,This is a gem of a museum!
Took a bus trip to the monastery and the monastery provided a tour of the church and crypt.  Tour is about an hour.  Monastery is about a 5 minute drive from the Basilica of the immaculate Conception in NE DC. The entire experience to include the extensive grounds would probably take you 3-4 hours to do it right.  There is parking and security close to the church,October 2017,50,Franciscan Monastery of the Holy Land,Bear H,Spiritual Experience
"Built in 1899, the Franciscan Monastery is a re-creation of areas in the Holy Land, including the tomb where Jesus was laid after his death. They have also recreated some of the catacombs and have relics of saints there.  There is much more there as well, multiple altars, beautiful mosaics.  Be sure to see the extensive gardens, which include Stations of the Cross.  More beautiful mosaics in the outdoor Rosary Portico, a series of extensive arcades that have the Hail Mary in 150 languages.  Free. A must see for anyone.",October 2017,50,Franciscan Monastery of the Holy Land,1AnnieEliza,Nothing short of amazing!
Begin in the southern end and remember a bottle of water on a hot day. There's nothing out there. ,March 2017,40,Rock Creek Park,marloth2000,Almost like the mountains 
"I spent a summer near Dupont Circle, and I really enjoyed running up to Rock Creek Park. What a really neat park right within the municipal area of Washington, DC. It offers miles of hiking or running trails, picnic areas, and a nature exhibit center. If you're visiting DC, this may not be high on your list of places to visit. But it's a great spot for locals!",August 2016,50,Rock Creek Park,RunrDave,An amazing gem in the heart of DC
Beautiful place to spend the day walking and exploring. Very nice place to spend the day. Walking around this area and sight seeing was great. the architecture is beautiful. definitely worth visiting when in DC. Great for photos. ,June 2016,50,Rock Creek Park,Msdevine19,Beautiful
"This huge park has great trails for all abilities. Run, jog, walk or bike the miles of paths and enjoy Mid Atlantic nature at its best. There is much greenery and the lovely babbling creek",April 2017,50,Rock Creek Park,Kyle S,Great trails
"Went on a rather hot, humid summer's day to this gem of a park.  I've lived in DC for a few years now, but never knew about this place until my significant other told me about it.  There's quite interesting story behind it, starting with a man named Walter Shaw and continuing with his daughter, Helen Fowler, which you can read about at the gift shop.  I'm not much of a horticulture nut, so I can't speak to the various varieties of flora that can be seen here, but I can say they are certainly beautiful to look at and it was lovely just walking around and taking it all in.  We drove, so I don't know for sure if you can get here by bus (and if you can, it is probably a pain).  I'm looking forward to coming back this coming spring.  As I said, it can get hot and humid, so dress appropriately, there are also some benches and chairs here and there you can relax on.",June 2015,50,Kenilworth Park and Aquatic Gardens,asiganamadrid,"Lovely place to see water lilies, lotus and nature's creatures"
"This is not an easy place to get too for many, but it is worth a visit, especially when the lilies and lotuses are in bloom. There is lots of variety in types of blooms at different times. ",June 2015,40,Kenilworth Park and Aquatic Gardens,photobug429,Great place to see water lilies and lotuses
Did you get the idea that I love it?  If you are still not convinced- look at all my photos!,January 2019,50,Washington Metropolitan Area Transit Authority (Metro),IVistedThisPlace,This surely must be one of ther greatest public metropolitan transit systems in the world
"There is no need for a car in Washington DC!  The Metro rail system goes everywhere you need for a tourist week or two. When the rail doesn’t get you close enough, use your metro smart card to get onto a bus. Trains run on time and not much time in between. Ride the train! ",March 2019,40,Washington Metropolitan Area Transit Authority (Metro),Kim P,DC without a car!
Signed #hostageofDCMetro,March 2019,10,Washington Metropolitan Area Transit Authority (Metro),GingerWoof69,What a way to be held hostage 
The metro system is in very bad shape! They need to fix several stations. For the national capital I expect a cleaner metro! Please do somethings!,March 2019,10,Washington Metropolitan Area Transit Authority (Metro),Urs B,Not clean
This building looks beautiful from outside. It is difficult to see inside though. There is a free tour in the noon. This Iconic building is the Symbol of Democracy.,November 2016,50,Senate and House Office Buildings,JoyShurjo,The Iconic building: Symbol of Democracy
"I was unsure how my husband would react to this museum, and he was one of three men in the whole place — but we had a blast!  The exhibits are beautiful and provocative.  The exhibits were varied and the museum’s architecture is a marvel—no one would know that the art is all from women...but it was secretly a plus for me!",December 2018,50,National Museum of Women in the Arts,417aprila,Date night at the museum
"I was fortunate to drop in just a few minutes before a free talk by the curator of the Rodarte exhibit. If you are in the area, I highly recommend checking out this show.  It was comparable to art/fashion exhibits at the Met.",December 2018,50,National Museum of Women in the Arts,profmom1,Overlooked museum 
Stumbled upon this wonderful museum shortly after checking in to hotel.  $10 entry fee and it was worth it just to see the Rodarte exhibition on floor 2.  Made my way to floor 3 where the permanent exhibition is held and was also entranced.  I had about an hour to check out these 2 floors and will definitely revisit to see the rest!  Girl power!,December 2018,50,National Museum of Women in the Arts,da277,Wonderful!
"Saw only very few paintings due to the closure of the highlights exhibit on the third floor. What I saw was definitely not worth the entry fee. The Rodarte exhibit was interesting, but since I am much more interested in paintings rather than fastion, it was disappointing. i wish I would have been aware that there are only very few paitings outside the third floor. Also, the lighting of the museum hinders the viewer to properly see the paintings. Great idea of having museum only exhibiting women's art, but the execution was unfortunately not as successful.",December 2018,20,National Museum of Women in the Arts,JoanaG1053,Highlights exhibit on 3rd floor closed
"The most remarkable thing about it is, that is it veritably situated in the middle of the city! Lush green ""forstest"", providing shade an a relaxing cool atmosphere as a change for the dusty hot city ... water streams and ponds are always lovely ... There is just one fact, that makes me not give 3 stars: The motorway running right through the middle of the park. As the area is a valley, the vehicle noise would be trapped and so it is not entirely quiet anywhere .... then again, who'd expect this in a city ...",September 2017,40,Rock Creek Park,Travellingesther,In the heart of Washington City
Within minutes you can walk trails and take bike paths surrounded by trees and away from the hustle of dc.   A national and city treasure!,October 2017,50,Rock Creek Park,jenabaintheworld,Green and nature in downtown dc
"The park is simply beautiful, well maintained and strikes the right balance of nature and development. The paths are well kept and the nature trails go from easy to advance, depending on the hiker skill. There are so many entry points into the park, including the Zoo, and the newest addition: Beautiful Kingle road, by Cleveland Park. There are plenty of picnic spots, biking trails and historic landmarks spread across the park. This is a true treasure of our nation's capital!",October 2017,50,Rock Creek Park,Trekker2020,"Beyond monuments and crowds, Rock Creek is the best thing DC has to offer"
"If you want to go to the Holy Land without leaving the US, this is the place to go. Peter came a wonderful tour and answered all of our questions.",February 2018,40,Franciscan Monastery of the Holy Land,Norman M,Nice tour
"Have lived in the area on and off since 1974 and this was my first visit.  Went with a Knights of Volumbus group, including mass.  Very pretty place, very meditative.  plan to take visitors next time.",February 2018,40,Franciscan Monastery of the Holy Land,Chinapjs,"Very interesting monastery, went with church group"
Walked the Stations of the Cross on Good Friday.  Very moving to do this with so many other people in such a beautiful place.,April 2017,50,Franciscan Monastery of the Holy Land,Margaret B,Beautiful and moving
Extremely busy which detracted from what I remember from a previous visit was a pleasant day. Best bit was the ride on the circular buss for 50'cents!,April 2018,20,Franciscan Monastery of the Holy Land,Barbara P,Very busy.
"This is a hidden gem in DC. We went to see the blooming lotus and water lilies during their annual lotus festival, then went back for the night blooming lotuses (the park was kept open till 9pm last Friday for this event), then went back two days later during early morning - that means, three times within a one-week time frame! So you see how much we liked this place. My only issue is ... I wish they would keep the place open till later than the current 5pm closing time.",July 2016,50,Kenilworth Park and Aquatic Gardens,FNC15,Amazing place - highly recommended!
"Bring a picnic lunch and discover this unique exotic garden, especially when thousands of lotus and water lilies are in bloom this time of the year. It's outside the city center, but just a 10 minute walk from the Deanwood station on the same metro line that serves the White House and Smithsonian museums. The park's visitor center offers occasional educational tours plus a day long festival and a jazz night in July. If you're driving or biking, you may want to visit also the vast National Arboretum three miles away, where the extensive bonsai garden is among the rarest gems of Washington sightseeing. Free parking and no entrance fee at all of these attractions.",July 2016,50,Kenilworth Park and Aquatic Gardens,Ted R,Free entry gardens dedicated to flowering aquatic plants
"This is a great place to see different kinds of water flowers that do not limit to lotus and lily. The garden includes all type of marshland plants and flowers for visitors to enjoy during the visit. The garden consists of many ponds and swamps to show cases different types of marshland flowers, especially different species of lotus and lilies.  and The garden is located in Kenilworth Park and on the bank of the Anacostia River. The National Arboretum is not far away.  To combine the two attractions, a day of visit is worth the trip. Very good path and good setting for visitors to enjoy the flowers and plants, yet maintain and nature and environment of marshland. The gift shop and visitor center is a great place to start to learn about the plants and the garden. Be prepare to walk on dirt road, in the sun and maybe some insects. A car is needed to get to this place, and plenty of parking spaces at the site.",August 2016,50,Kenilworth Park and Aquatic Gardens,Prawet J,A must see especially in July
"Never or rarely use rapid transit and mentally think dirty and dangerous... NOT Metro!  Spotless, safe, not dangerous and never felt in danger... very helpful staff with ticket purchases and directions... EASY to follow maps.... if NYC is a 2...Atlanta MARTA is 8, DC is a 10...we stayed Baltimore inner Harbor, used car to Greenbelt station and green line directly to our stop!",April 2019,50,Washington Metropolitan Area Transit Authority (Metro),johntG2615OA,Great Way To Travel DC!
"This transit system has been exceptionally great to get to various locations throughout the DC and surrounding areas. Most trains ran on time with minimal delays and convenient locations even during rush hours. Some trains did have some bad smells but for the most part, were well maintained. ",April 2019,40,Washington Metropolitan Area Transit Authority (Metro),MrMarrkyMark,Efficient and cheap way to travel DC
"Overall, it is a great to commute or visit Washington DC",April 2019,50,Washington Metropolitan Area Transit Authority (Metro),yveslouisp,Better than described by locals 
