title,usr_code,review,place,travel_date,rating
Great shopping mall in downtown Chicago,Mark B,"Great shopping mall, nice vibe there, great shops, I recommend the Christmas in Chicago shop where you can get personalized Christmas stuff, very nice. Nice for souvenirs fit example. ",The 900 Shops Mall,July 2015,50
Upscale Michigan Ave. Mall,Ricky G,This upscale mall along Michigan Ave. hosts Bloomingdale's and Galt Toys.  Several restaurant options here as well.,The 900 Shops Mall,September 2014,30
Upscale Shopping Mall,Gregrob1980,"This mall in the heart of Chicago is a must! The Bloomingdales is one of the best stores. Plus, other high end stores, including Gucci, Max Mara, and Michael Kors. ",The 900 Shops Mall,August 2015,40
Annual visit,Kathy L,"My adult daughter loves coming here as part of her birthday celebration. Small outdoor markets from Europe and other countries. Food vendors have German offerings from potato pancakes to seafood to sausages. Beer and mulled wine along with non alcohol drinks in commemorative mugs. Always cold and windy so bundle up. This year we came on a Thursday and the lesser crowd was enjoyable, allowing us to browse easier.",Daley Center,December 2016,50
Great for preschoolers through 12 years old,elizabeth l,The second floor of the museum contains more standard museum artifacts of Swedish immigration to the United States -- interesting to adults and older kids.,Swedish American Museum,November 2011,40
A hidden treasure in Andersonville,Snowbound-N-smiling,"We happened by this place and it became the highlight of our day. Lots of rich history about Swedish immigrants who settled in Chicago. Be sure to ck out ""A Dream of America Exhibit"" that takes you thru the life of a swedish traveler (shoes, suitcase & all) as they journey to their new home in America. You'll be glad you stopped in! Also a museum gift shop and numerous children's activities.Well worth seeing and they have free admission at certain times.  ",Swedish American Museum,February 2012,50
In praise of the Brunk Children's Museum of Immigration,Suchabooknerd,"Recently, on Smithsoniam Museum Day, my husband and I took our 1 year old son to the Swedish American Museum.  While this small museum dedicated to the history of Swedish-to-Chicago-immigration museum is really well curated and very interesting, the highlight of the whole place is the 3rd floor Brunk Children's Museum of Immigration.  Rather than untouchable displays of historical artifacts, it's a completely hands-on exhibit where young kids can climb a dock onto a boat, row a viking ship, play in a farmyard, and go inside not one but two small cabins that are representative of the Swedish immigration experience.  My son is only 1, but he had a blast running around the exhibits and looking at all the things, and I look forward to taking him back there as he grows up.  Free to IL residents on Tuesdays, this museum is a small little wonder in the lovely Chicago Andersonville neighborhood.",Swedish American Museum,September 2012,40
Great kid's museum for toddlers,Mexicolombiana,Finally their store has very cute items and there are plenty of kid friendly places to eat at within walking distance.,Swedish American Museum,September 2012,50
Peak in if you're in the neighborhood,rad79,"This is small unique museum.  I wouldn't recommend making a special trip, but if you're in the neighborhood pop in!  The street the museum is on is home to many restaurants/shops.  You can see the entire museum at a slow pace in an hour.",Swedish American Museum,March 2012,40
Love the Vic,Pearl N,Great for new and upcoming entertainers. Been there a dozen times and always had a great time. There is convenient and reasonable parking right across the street.,The Vic Theatre,March 2015,40
"It deserves to be mentioned by the concert, not for the accommodation",diderot61,More uncomfortable yet if you get a plus-size fellow beside you!,The Vic Theatre,September 2014,30
Great Venue!,ALKite,"Went to see a concert here, and loved the venue.  We elected to sit in the balcony area, the view was amazing.  I don't think there's a bad sight line in the whole place.  There was a bar and restrooms on the balcony level, the seating was like a movie theater.  There was no seating on the floor for this event, and all spots, sitting or standing, were first come first served.  There were plenty of servers taking drink orders, and they had a bracelet system to identify people who were over 21.  ",The Vic Theatre,April 2015,50
Great Selection of Shops! ,Gregrob1980,"I am not a big fan of malls, but this is one to stop by when your in Chicago. The Gucci boutique has a great selection and the Bloomingdales might be one of the best stores. Great selection and excellent service. Make sure you stop by Kings Cafe for coffee located on the first floor of the mall. ",The 900 Shops Mall,November 2013,50
Wow!,JulieFabris,"We loved all of the stores, shops, displays and the sales people were wonderful.  Some of the store employees even shared their tips for extra discounts and coupons and we ended up saving additional money on jewelry and designer sunglasses, which we really appreciated.",The 900 Shops Mall,July 2014,50
so many shops,manickpixies,"as the name sugests 900 shops, if you like shopping you have anything from bloomingdales to cafes, to channel, something for everybody",The 900 Shops Mall,October 2014,50
Merchant & Rhoades,craig S,What a great place and they sell all the cosmetics and menscaping items you could ever need.  Check it out!,The 900 Shops Mall,December 2014,50
Everyone wants to see the Picasso,joansQ8658IX,"The Richard J Daley Center is Cook County's main civil court house. If you are a court buff or visiting attorney, you may wish to go in and see a trial or hearing. The public is welcome to (quietly) visit the law library on the 29th Floor. Just going up there to gawk is discouraged, but if you quietly sit at a table near the window and enjoy the spectacular view and read something, no one is likely to kick you out. The Daley Center does have a web site and public affairs office where you can get more information and even arrange a tour. Throughout the year, events are held on the large plaza, which is anchored by a monumental work by Pablo Picasso. Children often slide on its base, but I think that this practice is disrespectful and not a safe activity for children, so I would discourage this. There is a farmer's market every Thursday in the summer months and a lovely Christmas Market from Thanksgiving to just before Christmas in this plaza. If you don't have much time, like monumental art and want to take an interesting walk in downtown Chicago, Start at the Thompson State of Illinois office Building on Clark and Randolph where you will find a large Dubuffet work in the plaza. Next cross the street to the Daley Center and see the Picasso. Directly across Washington, you will find a large Miro. proceed south on Dearborn.to Madison and turn right. Enter 69 W. Madison and admire the large Henry Moore sculpture in the atrium. Leave and return to Dearborn. Across from the Henry Moore, is an interesting building and plaza currently known as the Chase Bank Building. In the large plaza on the south side of the building off Dearborn, you will find a Chagall mosaic mural. Keep heading south and the northeast corner of Dearborn and Adams you will see a nice copy of Winged Victory of Samothrace, covered in gold, in a building atrium lobby. Across Adams, notice the twin Federal towers designed by Mies Van Der Rohe. On the east side of Dearborn is the Dirkson Federal Building which houses Federal trial courts and the 7th Circuit Court of Appeals, as well as many federal agencies. On the West side of Dearborn is the Kluczynski Federal Office Building and Post Office. in the plaza is a giant red Calder sculpture that resembles an ostrich made of I-beams with its head stuck in the cement! I do hope that you enjoy this little tour!",Daley Center,August 2016,30
Christkindlmarket Nov- Dec in Chicago,Anne Marie M,"The Daley Center hosts the best Christkindlmarket in probably the whole US. There may be some small ones around but nothing to compare with Chicago! It opens the Friday before Thanksgiving and goes through Christmas Eve & it's free!. This is the best place to buy handmade traditional glass Christmas ornaments. There are tons of other vendors selling food, mulled wine and other holiday items, traditional and new. Wear warm clothes, especially warm shoes or boots because it gets cold walking around for a couple hours. There is ample parking in garages close by.",Daley Center,November 2015,40
"Daley Center Farmers Market Thursdays May - Oct 7am - 3pm, Great place for lunch",EC145,"If you are in town, it is worth a visit to the market. You can pick up some food for lunch. In fact, today I bought a grilled cheese from Gayle's Grilled Cheese stand and forgot how incredibly good they are. You can pick up some local fruit for snacks. There is a fantastic soup stand, Karl's Craft Soups that I love because he sources from all the farmers at the market. There is a tofu, Phoenix Bean that has little boxes of prepared tofu salad, all made with truly, market fresh ingredients. Most of the farmers are from Michigan, Illinois and Wisconsin. River Valley Mushroom has really good soups and there garlic cheese spread is decadent it is so good. There is a whole row of Amish vendors because of the Amish communities nearby. It is easy to buy lunch and have a picnic nearby and gives you a feel for the farms of the midwest.",Daley Center,August 2016,50
Christkindlmarket,rcmrunner70,"The market is conveniently located at the Daly Center; easy to get to from the Blue Line (Washington stop), Red Line (Lake stop) or it's a nice walk from the Metra stations.",Daley Center,November 2016,40
Visited the Christmas Market. Nice. Food ok. pricey but worth the time,stephenf497,Second time to visit the market. was here in 2011 also. More booths. Heavy consumption by many on the mulled wine....and will say that one was just ok. pretzels...ok. potatoe pancakes...now will say those were pretty good.  On a Saturday it was pretty crowded. wouldnt recommend for small kids. No real kid events.,Daley Center,November 2016,30
Nice train,lynnc156,Very calm and peaceful train experience.  Very safe in comparison to The El.  Was bummed that the engine broke on our train delaying our 6:45 pm evening train almost and hour+.,Metra - Commuter Rail,July 2017,40
Great concert venue,reneec156,"we saw Jimmy Eat World here (general admission) and the old theater has two levels on the ground floor, so the shorties like me arent stuck with no view! The bar is cash only, so be prepared if you want a drink!",The Vic Theatre,August 2013,50
Great Venue,applescruff909,"I saw Eels here in February of 2013, and it is a really great concert venue.  It's a fantastic space with good acoustics and visibility from throughout the house.  Small enough to be a cool, intimate setting for a concert while big enough not to feel cramped. It helped that the concert was amazing, but the venue itself had at least a little something to do with it.",The Vic Theatre,February 2013,50
Awesome Venue,SLK52302,We saw the John Butler Trio.  Excellent Venue.  Excellent ticket price.  Small but not crowded. Good beverage selection.  Theatre could use a little updating but all in all a great place.  There is a coat check as well. Loved it!,The Vic Theatre,February 2014,50
Another Chicago old school gem,Cheesehead88,Saw Sam Smith there to a packed house. Like other similar Chicago venues a nice cross between retro chic and a dump.  Sounded good.people having fun. Good theater for mid sized show. Very fun!,The Vic Theatre,April 2014,40
From window shopping to Swiss chocolates stop here,Kowalisyn,"It is expensive and wonderful to window shop here.  Teuscher Chocolates is fabulous, buy a piece before you leave!  There are several restaurants ranging from a quick bite at the coffee shop on the entry level, healthy juices and snacks on the lower level, thai, Italian, and more to choose from. Spend a few hours here. AND Mario Triccoci is on the lower level if you need a massage, your nails or hair done.  The good-to-go massage is fabulous!",The 900 Shops Mall,January 2012,50
Shopping,Michelle Y,"Lots of shops to choose from - too little time. Great prices, great brands.",The 900 Shops Mall,June 2012,40
not much variety,Becky A,"Not a very good selection of stores, has about 6 levels with about 5-6 stores only on each level, made it through it in less than hour.  Not many ""draw you in"" type of stores either in it, some were even going out of business because mall not busy and very pricey things in all the places.",The 900 Shops Mall,September 2012,30
All the shops you need,Dr_Iris_B,I went in this mall to get away from the rain and found it to have all the shops I was looking for! (unfortunatly I wasnt the only one trying to find a shelter from the rain so it eas quite busy but stillgot great shopping done).,The 900 Shops Mall,November 2012,50
Lots of shops,ValentineGurl,"So many shops to choose from! I liked that everything was in one building. The only complaint, could have been more room to move about.",The 900 Shops Mall,December 2012,40
A Wonderful Chicago Tradition,SUBZEROSKIDD10,"A Christmas tradition in Chicago! This outdoor market is inspired by the Christkindlesmarkt held in Nuremberg, Germany and is ongoing in Daley Plaza until December 24th. Admission to the Market is free, but make sure to buy some of the hot mulled wine in one of the souvenir mugs. There are authentic German kielbasas with sauerkraut, pretzels, candy, popcorn, waffles, potato pancakes, crepes, and more. Not to mention all the merchandise, from cuckoo clocks to beer steins. Chicago's Christkindlmarket is a wonderful event and if you're in the city, make sure to check it out.",Daley Center,December 2014,50
Christkindlmarket,Bill D,Went to the 2014 Christkindlmarket. The food was great! Get there before they open at 11am. By noon on that Saturday you couldn't even move. ,Daley Center,December 2014,40
You can just see the Bluesmobile imbedded in the plate glass.....,ColConnie,"Most people get their first introduction to the Daley Center when Jake and Elwood crash the Bluesmobile into it.  The building houses the legal offices of the city of Chicago and the municipal courts.  But it also serves as the lynchpin for Daley Plaza and a host of free activities year round.  From the kriskindelmarket in December to the spring farmer's markets to Chicagoween in October, the plaza never wants for activities.  Anchored by the enigmatic Picasso and a low fountain whose colors match the season, the mirth of the plaza is a counterpoint to the serious business in doors.  The building itself is a Skidmore Owings Merrill tribute to Mies van der Rohe and functionality.  Daley Center is located convenient to the subways and bus lines.",Daley Center,June 2015,40
Fun people watching for markets and rallies.,Allen21096,"If you're coming through downtown Chicago, this is one of those places where you might want to stop to see a well known piece of artwork.  There are also rallies held here, as well as a variety of markets (from farmer to Christmas).  It is the plaza for the Daley Center which houses many court rooms, among other things.",Daley Center,June 2015,40
Home of the Picasso Statue,Fernost2012,Known for the Picasso Statue right in the heart of Chicago's downtown between Dearborn and Clark. Chrsitkindl market during holiday season,Daley Center,July 2015,40
Great alternative to driving,EJJourney,"Tips: 1. If there is a ticket booth at the station, get a ticket there or when  you buy one on the train, they will add a surcharge. (No surcharge if no ticket booth at station).  2. Once at Union, go to ticket counter right away to purchase return ticket to save time when returning (always shorter line by far this way. Long lines at the end of the day). 3. Train is often there 10 or 15 minutes early for the return trip, you can board and wait. It does pull out on time, so be warned. It does not arrive early in the suburbs, and it does not stop for long on the way in, just long enough to get the people waiting on the train. 4. Stop in the Great Hall (now a waiting/staging room for Amtrak) so worth the view. Daniel Burnham designed the station, built in 1925. Often decorated for the season. One year had a interactive player piano that was fun.  5. Lots of food vendors/convenience store/souvenir stores there. 6. Look for boards with info for line, track, and time info. 7. At rush hour, all escalators go one direction to facilitate the crowd. 8. There are bathrooms and outlets in some cars. 9. Have cash to pay for parking at the station in the suburbs, currently 1.25 at the 143rd stop. ",Metra - Commuter Rail,December 2016,50
ECONOMIC AND CONFORTABLE,viajeinteligente,"We used the Metra to travel from Chicago to Kenosha , Wisconsin and it was a great experience. As long as you go online and fine the right tain and hours you will be more than happy, it is fast, clean, comfortable and it has two levels and nice views while traveling.",Metra - Commuter Rail,December 2016,50
very good service,Pammu_Parvinder,I was wondering how to get to Chicago downtown alone from so far but it was really so safe to even come late night in the train to Union Station which was an hour Plus ride in the train ....the best thing about the train is that I am on a wheelchair I was worried how would go up the steps but they have this lift that comes out of the steps and takesyou to the train its really feels  easy and awesome... it makes a person like me feel so happy ...when we can do these things makes us feel very independent,Metra - Commuter Rail,June 2017,50
"Excellent Service, Right On Time",bsandrs,"We took the Metra from the Millenium station out to Hyde Park, today, Sunday and it ran right on time. Comfortable seats and interesting views. On a sunny day, it was busy, perhaps because the timetable was reduced. It seems strange having a large, two level train stopping every couple of minutes, which speaks of busy times during the week. Make sure you buy tickets on line or at the station before boarding. Any tickets issued on the train attract an additional five dollar charge.",Metra - Commuter Rail,June 2017,50
the only way to fly,spinkick,Metra is the only way to go to the city. I usually ride the electricline from University park. This stops at Science & Industry Museum and the Field Campus.  Be careful to take Metra back and not the Southshore Line which goes to Indiana! Ends at Millenium station(bean) where you can take an EL train or bus etc. Coolers and liquids can be brought onto the train  and consumed if discret. Buy your ticket for both ways and save time.,Metra - Commuter Rail,June 2017,40
Nice venue,NJLuv2Travel13,"Great concert hall.  Small, intimate, good acoustics.  If visiting Chicago, this is a bit of a cab ride from downtown.",The Vic Theatre,August 2013,40
Easy way to commute to the city,ladylockup712,"My 14 year old son and I were visiting Chicago. We stayed in the suburbs, and to avoid driving downtown, we took the Metra. The person selling the tickets wasn't terribly helpful, and many of the people on the train were rude, even during non-business hours. But the train was on time, and the express got us from Naperville to Union Station with no stops in about 30 minutes. The train back that afternoon had 4 stops and took about 40 minutes, but still quick and easy!",Metra - Commuter Rail,August 2017,40
Easiest Way Around the City,kihyland,"My husband and I don't mind taking public transportation when we are in large cities, like New York and Chicago.  It's honestly the cheapest and easiest way around the city!  The Metra rails are the best way to get to the ballpark (both Wrigley and Guaranteed Rate Field), and convenient to all the best places outside the Loop!",Metra - Commuter Rail,August 2017,40
Easy travel to and from,TrioKemp,"Overall, Metra is good as long as it runs on time and you aren't late. I like riding the trains.",Metra - Commuter Rail,June 2017,40
Didn't take it,Hkrau1,We already had ventra day passes but Google maps told us to use the metra to get to the science museum.  As first time users we went to the information desk to ask for help and the lady was plain mean.  My son ended up talking to some of the other workers who were friendly and we took a bus instead.  ,Metra - Commuter Rail,August 2017,10
"Loved The 900 Shops Mall!  Unique Retail Mix. Great Specialty Stores.  Clean, quite, relaxed respit off of Mich. Ave.",brianwickens407,"A great off the main street, non-touristy shopping experience!!",The 900 Shops Mall,October 2014,40
Do your research!,laurabedokis,My best advice is to do your research before using the Metra. We made it to our destination just fine but it could've been confusing if I'd not researched everything online. Research when your train leaves and know that not all stations have ticket counters. Download the Ventra app and purchase your fares on there and you'll avoid a $5 surcharge for purchasing tickets on the train. We purchased weekend tickets on the app so we could ride any metra we wanted to! Saved us a ton of money.,Metra - Commuter Rail,June 2016,50
Sad,risbone,"A busy weekend - the train has 9 cars- Metra only opens one car so they can hurd eveyone into one car.  Car is now packed .... they don't care. Sad, no fun going to Chicgo anymore.",Metra - Commuter Rail,July 2016,10
Train into downtown Chicago,CarolH432,"Wonderful transportation and excellent service.  Helpful employees with our luggage and friendly, too.  Policeman on duty even stopped and chatted.  ",Metra - Commuter Rail,July 2016,50
Metra Rail made our visit stress free,gpdw,"We stayed at Schaumburg and took a one hour train ride to visit Chicago over one weekend. Totally stress free. Plenty of free parking at the nearest station (Palantine), trains were always on schedule, they are comfortable, clean, and very affordable--$8 for unlimited ride weekend pass. We walked from the transit station in Chicago to the loop area along the Riverwalk and it was great! The transit hubs in Chicago were very clean and well marked with signs directing you to the right platform for your train. ",Metra - Commuter Rail,June 2016,50
Very easy to use.  Once you figure it out.,TravisG234,"This was my first experience with commuter train in Chicago.  I was very impressed with the cleanliness of the cars.  Some things could have been better marked like the station hours, which track the trains arrive on, the location of 'quiet cars' and how the fair is paid.  Overall a good experience that I would highly recommend.",Metra - Commuter Rail,July 2016,40
Old world charm,likes2travel01955,"If you like old Victorian style, your gonna love the small intimate theater. It's old, it's old, yes you sit on banquet style chairs and the floor is old cement and the bathrooms are downstairs, with the lovely attendant to hand u a towel.  Full bar and parking is a problem!",The Vic Theatre,April 2015,30
Horrible Staff,RedNick01,"Be prepared to be heckled by the staff if you ask for a water, then charged $1 for a 10oz dixie cup of tap water. The bonus serving of attitude was no charge. Cute theater. Bar/service staff was pretentious and rude to a point where my interaction stayed with me an ruined my entire evening. There are plenty of places that you can get treated much better and see a show. If you decide to go here please do not let this count toward your overall opinion of Chicago. ",The Vic Theatre,April 2015,10
Christkindlemarket was so fun!,Abby K,The Christkindlemarket was so much fun! It was snowing so it was so beautiful.  The Mulled wine was really good. There were so many good vendors there to get food and items.  Can't wait to go back next year!,Daley Center,December 2016,40
Christkindlmarket Was Awesome!,marsands2016,Everyone was so friendly as well.  Well worth visiting.,Daley Center,December 2016,50
"Christkindlemarket - cute for Christmas, but bring cash!",hopeg467,"Stopped here for sightseeing after work with some co-workers. Very cute German Christmas market, but bring cash! Very few stalls accepted cards.",Daley Center,December 2016,40
Heart warming ,T G,Enjoy!,Daley Center,January 2017,50
Helpul staff,MarkFinland,"Took a morning train to McCormick from Millennium, believed I lost my phone on board, asked the people working  with maintenance at the McCormick station on Monday 6th of November - got assisted by Scott S. He called the strain staff and other train officials asking if they have found my phone. That is an attitude that is worth millions. What if there would be more like him around? What a wonderful place this world would be? P.S. my phone was found in the cloakroom of the McCormick place convention center. Thank You one more time to all Great Metra people.",Metra - Commuter Rail,November 2017,50
use it to efficiently & cost effectively travel from the Northwest suburbs to downtown Chicago,Tom C,"Used it for several years to commute to my job ....found it to be timely, efficient & cost effective",Metra - Commuter Rail,October 2017,40
Easy way to travel to the city,jeanciesil,"Taking the suburban train is simple and comfortable.  You travel to the downtown station and can warm up in the winter, grab some coffee and head out.  The conductors are friendly and helpful on the train and in the main terminal.",Metra - Commuter Rail,November 2017,50
METRA BNSF HIRES INAPPROPRIATE SUPERVISOR TRAIN CONDUCTOR,mdh1993,"Preferred solution: Let the company propose a solution.I didn't like: Supervisor using status to use swear words against me, Crap-smelling breath from conductor, When drooling over my phone impatiently, Conductor literally telling me he cannot get fired, Because of his status.",Metra - Commuter Rail,December 2017,10
Late all the time,ChiNicole,"I frequently take Metra to/from work, and it’s a terrible service. They are frequently late by at least 10 minutes (usually more) most of the time. Their fares are also expensive for unreliable service. It’s almost easier to drive than take Metra.",Metra - Commuter Rail,March 2018,10
Historic venue with a few limitations.,Cristin R,"I'd go there again for the right show. I also understand they are a Brew & View movie theatre on the off days.  Info says it's no smoking, which can't be helped during a concert but may be awesome for a movie.",The Vic Theatre,July 2015,30
Fun theater but bad seating,Yankee-on-walk-about,"I just saw a comedian (Jim Jefferies) at the Vic. The show was great but the seating is very uncomfortable. The metal folding chairs are packed very tightly together. This is fine if there is an attractive girl siting next to you, but not enjoyable if it is some guy. I wouldn't see another show here. I have seen bands here and prefer the standing room situation better. Drinks are expensive.",The Vic Theatre,November 2015,20
Great venue,amandasT7151TX,"We sat in the balcony and the seats were very comfortable. The stage and sound were decent from the balcony. Best thing was the server walking around getting drink orders through the show, ",The Vic Theatre,March 2016,40
Christmas market,librarylady88,"We visited the Christkindlmarket and it was packed, but I really enjoyed it. There were numerous vendors offering beautiful items and yummy food. The coffee and hot chocolate cost $7 in a souvenir mug. I enjoyed being part of this Chicago tradition!",Daley Center,November 2017,40
christmas Market,scottd272,Visit there at the Christkindlmarket at the Daley Center. It is very good Christmas market there. It was first time I was doing this in Chicago. I enjoy it very much. Also with friends at there too. They enjoy it very much.,Daley Center,November 2017,50
Christkindlmarket at Daly Center,nquinby,"A little bit of olde world Germany in Chicago. Visited on a Saturday afternoon and it was packed. It was very difficult to make your way through the crowds. But there were plenty of vendors selling ornaments, cuckoo clocks and other stuff. They have all sorts of food for sale- sugared nuts, strudel, stollen, bratwurst, potato pancakes, hot chocolate, beer, and gluhwein (a spiced red wine). The lines for food and especially the liquor were very long. Be prepared for a wait. Also note most of the vendors only take cash-the food & drink is cash only. If you can survive the crowds, it’s a fun way to spend some time leading up to Christmas.",Daley Center,December 2017,30
Christkindlmarket is a must see!,compgal,I go to Christkindlmarket every year.  There are so many wonderful  vendors there!  I purchased two Advent calendars and some great toys for the kids here.  I also bought some great tasting apple cider donuts.,Daley Center,November 2017,50
"Unregulated Crowd makes unsafe, unpleasant conditions.",mariaThatIsMe,"The sheer number of people in this confined area is 110% against EVERY fire code.  If you were short, plan on getting crushed.  I am 6'1 and could see over the crowd.  It was actually shoulder-to-shoulder shuffling and super-duper packed.  It was the 2nd weekend in Dec.  I actually ended up leaving with my friends because the environment felt unsafe.  My friends got an apple strudel and it was served cold and wasn't even good.  I think that they could make this much better by charging admission and limiting the number of people that are allowed in at one time.  I would happily pay $20 or so to be able to look at the booths and not just get pushed forward by the crowd.  The place reeked like alcohol.",Daley Center,December 2017,10
"Reliable, Clean - Blast-from-the-Past",John G,"First, this was a great way to stay outside Chicago and get to center city in about an hour.  I rode it five round trips (Friday-Tuesday) and was only 5-10 minutes late coming out of town about three times; coming in anywhere from 5am-8:15am from the north was always on time.  The price isn't too steep ($73.75 for ten one way trips, Great Lakes to Ogilvie Town Center) was worth it, rather than compete with traffic and pay $14 an hour for parking.  The commuters are quiet, the conductors are business-like, and many of the stations are classic in appearance.  I recommend you download the ""Quick Track Chicago"" app to keep track on available trains and train progress along the route.  It would be nice if the app told me what track the train is leaving from at Ogilvie Town Center, but it's not too much hassle to check the monitors in Ogilvie.  If you're  hungry or waiting for a departure or arrival and want a place to hang out that's clean, adjacent, and orderly/safe with a couple of city police to help with security, there's a nice food court on the south end of the Ogilvie train platform with escalators up to the platform from the food court with train departure information monitors at the top of the escalators stating which track number the trains are parked on.",Metra - Commuter Rail,August 2018,50
Use the Ventra app to buy tickets,BoyMom22,"The Union Pacific West and Burlington Northern train lines are very safe and you should feel comfortable taking them to downtown Chicago.  Note that you should download the Ventra app BEFORE you get to the train station.  This is how you buy tickets. Sometimes when you are leaving Chicago you cannot even board unless they see your app.  Granted, you can sometimes buy tickets at the stations - but not all are open and there's a hefty $5 fine to buy on the train.  It's easy!  Just plan ahead and you are good to ride.",Metra - Commuter Rail,July 2018,40
Riding Metro Commuter Train,denisepH2200LU,"I had to use the Metra train to get to a very important family event. I used Metra from the 55-56-57th Street Station to Harvey, Illinois. This was the most COMFORTABLE ride I have had to travel. As my mobility is ltd, the biggest challenge was walking up so many steps to the platform. When the train approached, the Conductor was super nice to wait until I was able to get to the open car. He assisted me in determining the best stop for me to get off and he was exact in his suggestion. The ride was affordable,easy and comfortable. I often travel alone. I felt safe as well. These attributes were very important to me.",Metra - Commuter Rail,August 2018,40
Mostly an exclusive selection,Phayao13,"Bloomingdale's is the star of the house, but you can also find a range beyond that. It is seldom crowded in here. Dining facilities do not quite match the otherwise exclusive framing.",The 900 Shops Mall,May 2016,40
Best Place to HEAR Music.,paintgirlchgo,Can't wait for another favorite band to show up at The Vic.,The Vic Theatre,October 2016,50
Great Venue,markrT7685WG,The Vic Theater is over 100 years old. While she shows her age she is a great and unusual place to see a show. All shows are general admission. Not a bad seat or place to stand in the house. I would recommend to any music lover. Seating is available upstairs if you do not wish to stand.,The Vic Theatre,October 2016,50
Intimate venue; good sound,Jenn S,"Sound is good and rich and seems natural. Not too loud, not quiet, but the dynamics were good. The theatre itself is old and it shows - the bathrooms need a serious updating (funny that the line for the mens' room upstairs was longer than the ladies' room line FOR ONCE.)",The Vic Theatre,October 2016,40
A Wonderful Venue For Music,Stevecation,"I saw a Marillion show here in October of this year and it was fantastic. The sound in this venue is really quite good considering it was built back in the Vaudeville Days. I questioned giving it a 5 rating because of the condition of the interior, but that just kind of added to the atmosphere. Nothing drastic, some paint peeling and some worn wood stains, all of which are to be sort of expected with a building this old. There were more seats up in the balcony area than I had imagined, maybe 200 and they were all good seats. It is an intimate atmosphere and again, with very good acoustics. We had no trouble with the area that it is in, which had several places nearby to grab something to eat and drink. Only a block away from a train stop. If you get a chance to see a performance you like in this venue, don't pass it up.",The Vic Theatre,October 2016,50
Center Point at Daley Plaza,irina g,"Outside the building is a very spacious Daley Plaza, with some trees and  nice shaded areas , benches, tables and umbrellas, a fountain (working now!), and the iconic Picasso Statue - a unique attraction for tourists visiting the city.",Daley Center,July 2018,50
Go here for Thursday farmer’s market,RusPat_704,"There is always something going on during the week here. I especially like the Thursday farmers market. There are fresh vegetables, fruits and baked goods. The price may be higher than in the supermarkets, but the items are fresh. You can also find honey, jams and homemade sauces, cheeses and  cooked meals for lunch. ",Daley Center,August 2018,40
Farmers market,ian_dempster,I visited on a wet Thursday morning but the farmers market which is held was still busy. Home also of the eternal flame.,Daley Center,September 2018,40
Hard to miss,McWett,The Daley center is a working building with court rooms and offices.  It is worth stepping inside the lobby for a peek.,Daley Center,September 2018,40
Really Easy,Kathrine S,"Great way to get from the airport to downtown.  Cheap, no traffic jams, clean, maps are clear, stops called out clearly.  Rush hour does get crowded!",Metra - Commuter Rail,November 2018,50
Great way for tourists to get to Chicago Botanic Garden!,BenLar137,"One of our goals in visiting Chicago was to experience the botanic gardens.  Thank goodness the train goes to the nearby Braeside Station!  We weren't travelling in rush hour, so things were pretty quiet.  Our train there and the one back were both on time. We found the train clean and easy to use.  We'd never seen trains with the open ""loft"" style upper seating area, but can see how practical it is when the conductors don't have to go up the steps!  And is the OTC ever nice!  Very modern!  The area on the other side near the markets had a bit more old-style charm, so it's hard to say which side we prefer. The only criticism we have is that we wish somehow they would integrate the Metra and the CTA ticketing - London England does an amazing job of this with the Octopus cards...",Metra - Commuter Rail,October 2018,40
Horribly Inconsistent,Amer K,"Getting on the Rock Island District from Tinley Park has brought nothing but distaste for this service. The trains are more consistently late than on time. This is especially true during the late fall/winter months. They frequently have very late trains due to unexpected delays that hold the train up by up to 40 minutes. The later the train you take the more true this becomes. They do a horrible job informing passengers and staff about any of this so you will show up to the train station at your expected time only to have to wait an extra half hour because of a delay you had no idea was happening. And if you planned on asking questions to the conductors or booth workers about arrivals, look somewhere else because they’re never informed of anything they go into it just as blind as we do. The Ventra app used to track trains is infrequently updated so there’s nothing you can do to see if a train will be delayed. If you’re a student who goes to a university in the city (IIT DEPAUL UIC LOYOLA) and your classes begins at 11:00am, you have no choice but to get on a train in the 8:00am hour to make your class on time. Overall I’m not even remotely fond of this service, I’d rather put the wear on my car from driving to the city daily ten times over than have to rely on this inconsistent sorry excuse for a commercial line",Metra - Commuter Rail,November 2018,10
Riverdale-Downtown,GoldstoneTraveler,"For the few days I was there, I was able to commute downtown with ease. I had no long wait periods nor overcrowding. My pickup area was within walkin distance of the train and was on schedule for the times I needed to commute. ",Metra - Commuter Rail,January 2019,40
"Quick, convenient way in Chicago",JeffG4917,Took the Metra from Schaumburg into Chicago Union station.  This beats driving into Chicago any day ! $36 total round trip for 2 adults and 1 child.,Metra - Commuter Rail,December 2018,50
Great place,chickyfishing,I wish the weather was just a little warmer.  We were really bummed that the flowers and tree area was closed off for a private event. Great little shops. ,Navy Pier Festival Hall Complex,April 2016,50
Family pick up ,jenniferMMiramar,Decided to make student pickup into a vacation. So we drove from O 'Fallon to Chicago. It was nice parking was expensive in government parking lots. We had best pizzeria pie and great walks through out the loop. ,Navy Pier Festival Hall Complex,May 2016,40
