title,travel_date,rating,place,usr_code,review
Nice little gem of a park,March 2017,50,Matheson Hammock Park,916angelof,A very nice picnic spot for anyone.
A bit tired and needs some new stores,December 2016,30,The Falls Shopping Center,Travel2andFr0m,One good spot are the restaurants - good selection.
My hometown park in ruins😥,December 2017,10,Matheson Hammock Park,susanhorn4life,This is the happy place of my childhood. Even in Ruins it's got my whole entire heart. I do not recommend you take your families at this moment this covered by tape destroy building in boats. That we all I know you can still go out there and rent a kayak . Matheson hammocks will rebuild
"A Very Old, Pretty Swimming Hole",January 2017,30,Matheson Hammock Park,fhdkf,"My father used to bring me to Mathewson Hammock when I was a child, about 50 years ago!!!  I still go there.  It's very pretty. It could be cleaner and when the tide comes in and out it can be a little smelly.  But if you are a tourist, take a ride out there.  Very pretty spot."
Nice place to spend sometime enjoying the sunset,July 2017,40,Matheson Hammock Park,Willians M,"Matheson Hammock Park is an excellent place to come and enjoy the sunset. The best time to come is during the week, this way won't be so crowded and you'll enjoy it better. There are parking spots very close."
Rustic,December 2017,30,Matheson Hammock Park,Pineapples-a-Plenty,"Lots to see, and pretty basic in terms of infrastructure. You can get a good view of Miami, and Biscayne Bay. The palm trees are beautiful!"
Luminosa was amazing!,November 2019,50,Jungle Island,tarajewelz6,The place was great! Only thing is I would have loved to buy something at the gift shop but the prices were outrageous!
Great relaxing beach,August 2016,50,North Shore Open Space Park,seanbelanger1,"Relaxing, peaceful beach, great area for bbq and rentals for kite boarding and paddle boards on the weekends."
Rated R,September 2016,40,North Shore Open Space Park,peteivonne,Cool place for spending time in the sun.  Lots of people  It's right in the middle of all the action but don't bring the kids 'cause they'll get more than a tan here. Bathing suit optional
Fabulous shopping,August 2016,50,The Falls Shopping Center,Poolegirly,"This mall is fantastic, it is semi-open air and has a really good range of stores. We came in particular to Yankee Candle, where staff were really helpful, also went to several other stores including Abercrombie and Fitch where again the staff were excellent. Would certainly recommend for a good retail therapy resort, not huge but well considered stores. This is not an outlet mall so you are paying full retail prices, the service is reflected."
Nice place to visit ,September 2016,50,The Falls Shopping Center,Saja S,There is PF changs near by  
"Too expensive, poor quality of food and service",October 2019,10,Jungle Island,Tal B,"For 2 adults and 3 kids we paid approximately 150$ for the tickets, 60$ for a hot dog and 2 kids pizza and $20 for the parking. Honestly, it wasn't worth the expense. "
Luminosa!,October 2019,50,Jungle Island,Carolina L,"LOVE IT!! Me and my parents enjoy it very much... we didn't know this park, is very pretty and is totally recommended... thanks"
Surprisingly cute,January 2017,50,Matheson Hammock Park,javiguemes1,"The last thing I was expecting was to find a beautiful ""swimming pool "" in the middle of the ocean surrendered by great vegetation and amazing views. Great facilities like restroom and changing area, pick nick area and Also next to the parking lot, water sport equipment for rent. This is a nice scale fir the traditional Miami Beach. "
Lovely atoll with great views,July 2017,40,Matheson Hammock Park,Gator2knight,"Highlights of the park are the view of Miami skyline and the atoll. The atoll is a protected swimming hole which is great for kids because there are lots of things to see there including starfish and all kinds of sea critters. Lifeguards are on duty. Sand is quite hard. The atoll is also lovely to walk around. This is a good place to launch your kayak--also you can rent kayaks here. There is a dinner only restaurant, Red Fish Grill which is quite lovely but has mediocre expensive food. There is also a busy marina with stations for cleaning your fish. Large iguanas can always be seen hanging around the marina"
Great place to visit for families or couples in love.,April 2017,50,Matheson Hammock Park,622elianap,"Whether you are there with one or many, Matheson Hammock has much to offer.   The Red Fish Grill is a lovely and delicious restaurant.  The beach area is small but has a great view of the bay and lots of beautiful boats speeding by.   There are also wooded areas great for picnicking and playing family/group games.  There is a very nice boat launch, but come early as the wait can be quite long."
lovely views,January 2017,50,Matheson Hammock Park,Diane A,"marvelous place to bring children...a nice lagoon for smaller ones to toddle in, the walks are lovely..and the added bonus of a fine dining seafood place nearby."
Pregnancy photoshoot. Spectacular park!!,November 2016,50,Matheson Hammock Park,Flor D,"Hi guys!! Flor here. It has been a while. I gave birth to twins recently. I am back though!! Ok, first this park. Had my pregnancy photoshoot at this location and I was IMPRESSED by its beauty. It is a breathtaking park. It has a small but nice beach and the vegetation is so lush, you will NOT believe you are in the middle of the hustle and bustle of Coral Gables!! The trees are its best feature, giving it a feel of a tropical forest. They made my pictures so dreamy!! See attached pics. It is perfect for picnicking and relaxing because sea breeze keeps it cool. It has a rental cabana for parties (perfect for baby showers), restaurants, and a nice long trail for bikes or just walking and enjoying nature. A must see if you visit Miami. Cars pay $5 during weekdays and $7 on weekends. Really worth it! LOVE IT"
"Dirty, animals uncared for",October 2019,10,Jungle Island,tsujnami,"So much under construction, paths weren’t clean, animals looked dismal, poor condition overall. Do right by these animals, at the least. I don’t mind a dirty path if the animals are cared for better. Saw multiple birds dead in the flamingo pools..."
Not worth it,October 2019,10,Jungle Island,susie697,"Would not go back. Overpriced and my kids were bored. I was also bored. Monkeys also looked sad and bored. I would’ve walked out as soon as I walked in, but well i was already there and had paid."
Excellent for kids,October 2019,50,Jungle Island,Pipo R,"Everything was extremely clean and talen care of, fun place and coourteous crew! Must visit if u hace small kids"
Very Nice,April 2016,40,North Shore Open Space Park,Luvs2TravelAnywhere,Very nice park and beach with restrooms and jogging/walking path. I found this on one of my morning walks and really enjoyed the change of scenery on the path with the trees. 
This place is AWESOME!,May 2016,50,North Shore Open Space Park,Emily K,"Having so much outdoor space this close to the beach that is both sunny in spots and shady in spots was incredible! We had a post-wedding BBQ here with friends who were married the day before. The pavilion was great and it has outdoor showers and bathrooms available. We spent the entire day here eating, playing games and soaking up the sun and sand before heading back home. It was very family friendly with lots of kids in the water and building sand castles. It was very different from the South Beach end. "
Outdoor Shopping Mall,March 2016,40,The Falls Shopping Center,Marlon N,Hardly ever crowed with a movie theater inside. Outdoor shopping mall. Parking is usually always available and you have plenty of dining options on the outer parts of the mall.
Beautiful Waterfalls,May 2016,50,The Falls Shopping Center,Anissa L,"great restaurants, amazing food...everything you want you can get at The Falls."
Beautiful Mall!,January 2016,50,The Falls Shopping Center,Christine C,"We visited this shopping place in January 2015.  This was on my birthday trip. Beautiful warm weather during winter.  We love it!  I bought a nice whiter sweater at one of shops there.  And we went to a movie there, too.  Fun!"
A bit small,May 2016,40,The Falls Shopping Center,SimonR661,This is a smaller mall with a lot of class. It is themed around a tropical stream which is very attractive and calming. It has two large stores and a myriad of higher end smaller outlets and independent shops. It has several restaurants. One of my favorite is Friday's. It also has a cinema but unfortunately because it is an older mall the seating reflects this. No amphitheater like with the newer ones.
Good luxury shopping.,June 2016,40,The Falls Shopping Center,102susie,"This mall is very nice. It has a theater, you walk around outdoors amidst ponds and waterfalls. It is more for the high-end shopper."
Beautiful peaceful setting,April 2017,40,Matheson Hammock Park,fhalvarez22, park is really worth seeing. They have nature trails through mangrove trees.It has a Pond and a Marina. You can sometimes see an alligator in the pond. It also has a very beautiful picnic area among the oak trees and at the very and there is a beach lagoon that is very peaceful and is very good for children as it has no waves.
Nature's Delight,February 2017,50,Matheson Hammock Park,Loubna N,Best place to watch the sunset away from the noise and crowds. The area is a hidden gem magically behind a huge park and surprisingly striking and full of life. The pictures tell it all. 
Easy and quick getaway,February 2017,30,Matheson Hammock Park,MayaLacayo,"If you are looking to get to the beach without the hassle of driving to Miami Beach, then Matheson is the place for you. You have tons of activities, from biking to kayaking and paddle board. You also have a atoll - pool where you can take the kiddies without the fear of them swimming out to the deep blue. Definitely family friendly."
Restful day with our feet in the sand,April 2017,50,Matheson Hammock Park,jodyj321,"It was a tough week in the business, I was exhausted, tempted to go to Friday night happy hour. We went to the beach at matheson hammock instead and sat in our beach chairs watching the sunset. Better choice, calming choice. It's one of the best views in Miami. "
"Calm, beautifulo, relaxing!",May 2017,50,Matheson Hammock Park,Joseph E,"I've been going to Matheson Hammock Park since 1954 when my family moved to South Miami.  Although there have been some changes, the Park has remained just as beautiful and relaxing now as it has always been.  Probably my favorite place in all of Miami area!"
I LOVE THIS OPEN PARK RIGHT ON THE BEACH !!!,June 2016,50,North Shore Open Space Park,Frank d,I have a niece who used to live just across the street from this park. We used to come here for picnics every time I visited. This is the way Miami Beach and other communities along the coast used to be when I lived in the area. I believe this might be the only open park space still available for public use at no charge. I hope it remains this way for many years to come.
Great place to visit,July 2016,40,North Shore Open Space Park,Jackie E,"Relaxing beach; not crowded. Park is nice & shady, accessible bathrooms & outdoor shower, grills. Paid street parking $2/hr."
Homeless Rule!,August 2015,10,North Shore Open Space Park,U2387MHraymondl,"Paid $350.00 to reserve a pavilion for a family gathering at the park. Arrived at the reserved pavilion only to discover it occupied by 5 homeless people. After explaining that we had reserved it, they reluctantly moved 15 feet to the next pavilion. As our younger members began to arrive they were introduced to the park by the cursing and fighting among the now 10 mentally ill homeless people in the next pavilion. During our barbecue the homeless sent a representative over to beg for food. About an hour later, two park maintenance men in a truck showed up. They warned us not to leave any valuables lying around because the homeless are known thieves. This made being close to the beach totally superfluous. It is obvious that those responsible for the park security have completely abdicated their responsibility for safety and security of legitimate users and renters. This is truly a horrible place to try and relax and enjoy the amenities."
LONG WALK,August 2015,50,North Shore Open Space Park,IMLeonTerzi,"OMG! We never thought we would get back to the car! Its a long walk, and be sure to do it early in the morning or very late afternoon. Sea view is absolutlely fantastic! Dont miss it."
They said this is the best mall in Miami!,July 2015,40,The Falls Shopping Center,hyprsts,I love the water features! I love the relaxed pace. Most shopping centers/areas are teeming with so much activity that you can't enjoy it. It was a relaxing day for shopping.
Best option in South Miami,July 2015,40,The Falls Shopping Center,MCN73,"The Falls Shopping Center is one of my favorite malls in Miami, if you are going to be around the South.  It has all the stores you typically look look for and need, and even some stores which are sometimes difficult to find elsewhere, for example American Doll (which is huge, even with a place to have ""coffee"" with your daughter and her dolls), Abercrombie Kids, etc.  The mall is the outdoor type, so it is nice and pleasant to walk around, and has restaurants and a movie theater if you want to take a break.  Since it is not the typical ""tourist"" mall, it is not crowded and service is personalized.  It is also not as large as Dadeland Mall, so I find it easier to go with kids and walk around and not be afraid to get lost from your group.  You find plenty of parking space which is comfortable with your shopping bags and it only has one level so not to worry about stairs or elevators. Perfect!"
"A pretty setting, but shopping was ok.",September 2015,30,The Falls Shopping Center,Ruth H,"We were here during the week and it was like a ghost town. The selection of stores is ok, but nothing new or different."
The Falls Shopping Center.,April 2015,30,The Falls Shopping Center,SX92,This is a mid-sized mall with a limited selection of stores. Not a good place to go when its raining
"The La Hacienda Restaurant, The Falls Shooping Center, South Miami FL",October 2015,30,The Falls Shopping Center,aguacal,The waiters are not that happy looking but they are attentive. Lunch for two: $18.oo
"Clean park, nice environment, good atmosphere",June 2015,40,North Shore Open Space Park,rmathijssen,Nice park to visit. Everything looks clean and the atmosphere is great. Good facilities to BBQ or just picnic. Nearby the beach what's make it a good combination to give the park a visit with the whole family
"Great view, but not tourist friendly",January 2017,30,Matheson Hammock Park,David C,"It cost $7 to enter and they were all out of maps, so we had no idea where to find trails or whatever else might be available.  We did find the main parking area where there was a beach and a beautiful view of downtown Miami."
Laid back and family friendly,December 2016,40,Matheson Hammock Park,M1388HJlaurap,"Perfect to bring kids to, great for walking and good biking areas. You get a beautiful view of the miami skyline and wind surfers from the parking lot."
Nice and quiet park,January 2017,40,Matheson Hammock Park,albertom675,"Lots of trails. Even had Hobbie kayaks and kite surfing for rent. Some areas allowed grilling and great for BBQ under a tree with the ocean view. There was a wedding at the the natural ocean pool. Beautiful place to go if you don't want to go in the water, not south beach ocean but white nice sand for tanning. "
Lovely Park,December 2016,50,Matheson Hammock Park,Heidi1226,"Matheson Hammock Park is just delightful!  Lovely beach area with lifeguards and picnic tables all around.  You can visit the Red Fish Grill for a meal, or bring your own picnic like we did.  The kids explored on the rocks over-looking the water.  A must see!"
Wonderful park with lots of options for fun,February 2017,50,Matheson Hammock Park,traveljules2016,"This is a great park that offers places to kayak, swim at a beach, walk along the bay and sit and enjoy the gorgeous views. We went to see the sunset.  Highly recommend this as a place to visit in Miami.  You can see the sunset from one side and then see the skyline of Miami from the other. "
Great view,December 2014,50,North Shore Open Space Park,Zola1961,Take a walk down here and look back on the whole of Miami beach . Great to watch the ships as well . Easy to cycle there 
North Shore Open Space Park,May 2015,50,North Shore Open Space Park,T0urist7,"North Shore is a lovely, beautiful park.  It makes a difference to the South Beach. You do not find in North Shore skyscrapers, concrete boardwalk and crowd. You can choose what do you prefer."
Nice Beach,April 2015,40,North Shore Open Space Park,mmklan,"We are staying in the Keys, which don't have sandy beaches.  So we ventured up to Miami, and found this beach.  It is relatively quiet, and nearby parking is easy.  It has some seaweed, but that wasn't a big deal.  We had an enjoyable day,."
Friendly outdoor mall,February 2015,50,The Falls Shopping Center,Dushisun,This is a very friendly open mall. Spacious and lots of places to sit outside to have lunch/dinner or a coffee. Shops are for all family members. Including a Apple store which is not as busy as in Dadeland Mall.
nice outdoor shopping center,April 2015,50,The Falls Shopping Center,Jeff P,Many options from local to name brand stores.  Pleasant outdoor experience.  Nice food options also.  Lots of outdoor seating and several restaurants. 
Outdoor shopping at its best!,April 2015,50,The Falls Shopping Center,MiamiScubamom,"This is my favorite outdoor shopping mall.  I love the waterfalls and how the river and pools run along the entire length of the mall.  Macy's and Bloomingdales are the anchor department stores.  There are many other stores in between, The Apple Store, American Girls, The Gap, Gymboree, Bath and Body Works, and much more.  There is also a movie theater and many restaurants for all budgets.  The lights at Christmas are spectacular.  "
Outdoor Mall With Typical Mall Stores,December 2014,40,The Falls Shopping Center,Linnea P,"But the best time to visit in my opinion is at Christmas time when all the decorations and lights are up. The weather is better and not so humid as it is an open mall, but the crowds can be quite bad. I usually will go to the Bath and Body Works sales and that is about it. Sometimes I may browse in Hot Topic. Macys can have some good sales, but I rarely find anything worthwhile buying. I tend to visit every time I am back in town, but I wish there was more variety of stores."
"Good for shopping, strolling, dining",April 2015,40,The Falls Shopping Center,MEM1988,"This shopping center has smaller stores as well as the Macy's & Bloomingdales anchor stores. There's a nice size theater and plenty of dining available:  whether you want, pizza, crepes or icecream to fancier fare (Los Ranchos, Tuscan Grille, BJs Brewery) you will spend a pleasant afternoon strolling The Falls!"
Nice and Chill,April 2015,50,North Shore Open Space Park,X9529HCericm,This place is great! not too many people but enough to keep you entertained. Beaches are sandy and shallow for the kids. 
great option out of Miami Beach area,May 2015,50,North Shore Open Space Park,Alex d,"NOrth Shore is one of the best options when Miami Beach is full of tourist and you want to stay at Miami Beach Area, the park is very nice, is clean, and you can park on public parking. "
a peaceful place to relax on a lazy afternoon,June 2016,50,Matheson Hammock Park,henri m,I spend many afternoon and morning after my bike ride A bit of sun wind and a snack at the local restaurant located at park
Quiet urban beach escape,August 2016,50,Matheson Hammock Park,Jeffrey H,"Settle down, relax and take in a bit of ""old Florida"" at this wonderful park.  There were manatees when I was last there and the lagoon is wonderful for kids."
A beach alternative on the bay.,October 2016,40,Matheson Hammock Park,Foodiepaul,Please note that if this is your first time to area take time to enjoy drive in and out as it is surrounded by beautiful neighborhoods and landmarks. Enjoy ! 
My favorite spot in Miami to see the sunset ,October 2016,50,Matheson Hammock Park,Lrodri1498,I strongly recommend it 
Great Place to Sit but Not Much Else!,September 2016,30,Matheson Hammock Park,WD80,"I was in Miami for a couple of days and decided to visit the Grove first, then made a pit stop at the Park.  I have not been here in years and is not as nice as I remember.  The pool area is small but fairly empty.  But for the hang gliding outside of the Park, there was not enough going on to keep me interested for long.  After just sitting for about 20 minutes, we left. Also, there is a charge for parking that I didn't recall before."
Bark Beach,May 2015,50,North Shore Open Space Park,Anna K,"On the weekends from 3-7 pm, pay $25 (non-resident) to take your dog to the beach.  You need the rabies dog tag for entry and pet must be on leash.  Take a blanket, towel and enjoy the beach with your 4 legged friend. Entry between 80th and 81st street on Collins Ave.  Check out the park website.  "
"Calm, convenient beach",February 2014,50,North Shore Open Space Park,CSturgeo,"If you, like me found the crowded chaos of Miami Beach a turn off, check out this beautiful public beach with ease of parking and restrooms. This may be more crowded on weekends but for week day travelers it was a welcome respite. Located just north of 79th St. there is a parking lot across the street within easy walking distance. The parking machines will get a an unlimited time for $8. We couldn't even find a way to get out of our car the previous day (Sunday). Thjis beach is one used by the locals."
Beautiful & Quiet Beach,February 2014,50,North Shore Open Space Park,Suzanne_Schiff,"This beach was very quiet and clean.  It was a short walk from where I was staying, and there are also public restrooms if needed.  The water was calm and it was the perfect place to relax and soak up the sun!"
Excellent mall to shop or just hang out and eat,January 2014,50,The Falls Shopping Center,FloridaLadyaya,"Spacious and clean, real cool atmosphere with the water falls and the covered walls with Brito Brito's art makes it specially trendy.  I went with my family which includes teens and elderly and everyone had a great time.  Nobody was ready to go home."
My favourite mall,April 2014,50,The Falls Shopping Center,Chrisjalex,"Macy's, Bloomingdale's, A&F as well as cinema and places to wat."
Excellent Shops,May 2014,50,The Falls Shopping Center,flomarte,"All  shopping experience for different pockets. Clean, very good eatery s, relax atmosphere and romantic landscaping."
Excellent shopping expirience!,May 2014,40,The Falls Shopping Center,Analurivera,"The Falls has most of all the stores you need in an outdoor mall. The mall is nice and it's not so crowded, excellent for stress free shopping. The down side is that since is open air when the climate gets hot you feel it. Also when it rains really hard you are most likely to get a little bit sprinkled. But all in all is a great place to shop and hang out."
Open Air Shopping,June 2014,30,The Falls Shopping Center,MrMiamiExplorer,"The Falls Shopping Center has always been one of my favorite malls. It is an open air mall, which gets its name because many of the shops are centered around man-made ponds, streams, and waterfalls. These waterways were filled with bright koi fish when I was little, but have since been chlorinated. There is nice landscaping around these waterways as well. Often you will see ducks wander into the mall from the canal behind it to go for a swim in the chlorinated ponds. I hope they don't drink too much of the chlorinated water. It is a nice place to walk around and window shop, or just sit by the waterways and talk. Unlike the open air shops of Bal Harbour, Sunset Place, or Bayside where they greedily charge a fortune to park, parking is free at The Falls! It is however sometimes a nightmare to find parking on weekends. You may have to park at the far back of the mall (South Side). Another negative is the rudeness and unprofessionalism of the security guards. On more than one occasion myself and my friends have been stopped and/or harassed. Last year a security guard stopped us because he said it was suspicious that we were walking around and texting! Seriously? Many I have seen are very obese, and I have seen them use scooters just to get around. In my opinion the current ones should either be terminated, and/or required to take a mandatory class on customer service. I visited the Fresh Market on this visit and was surprised that the prices for some of the produce wasn't as bad as I'd heard. The Fresh Market is located on the same property and is fun just to browse even if you don't need any groceries. The market's interior is decorated like an old time country general store. I've brought many people to the Falls, who had never visited before, and despite the negatives, will keep coming back."
"Same beach, not as crowded",April 2014,30,North Shore Open Space Park,Emily A,"Good place to go for sand, ocean, surf, swim, basic amenities and not as crowded.  However, if you want ""the scene,"" head to South Beach."
Great local beach!,May 2014,40,North Shore Open Space Park,Kellemjones,"Clean beach, easy access.  Water is nice too!  Dog park nearby!!  Metered parking, bring change. Life guard on duty."
North shore park,February 2014,50,North Shore Open Space Park,610andrewt,"A beautiful quiet and very large park on the beach parallel to the A1A between 63rd and 81st ( about). Great for strolling ,biking BBQ and pets."
Beautiful Views/ Disgusting Atoll,July 2016,10,Matheson Hammock Park,MattL132,"The hotel that we are staying in recommended the manmade atoll at Matheson Hammock Park as a great place to swim and see some exotic fish. With this in mind we wanted to make sure that we made time to visit while in Miami. This was a huge mistake. While the park did offer some pretty impressive views of the Miami skyline, the manmade atoll was disgusting. The water was black and smelled like raw sewage. The smell was heavy in the air and we couldn't even stay long to enjoy the views. Skip this attraction, at least for now."
"""Worth a look""",July 2016,20,Matheson Hammock Park,epuya,I do not plan to go back because there was nothing there that would prompt me to visit the park again.
A sheer delight,November 2015,50,Matheson Hammock Park,bowdlerb,"You have got to make time to see this place, especially around dusk, when the colours are at their best."
Great Experience,July 2016,50,Matheson Hammock Park,Dayana F,"This park is awesome. Family friendly. The beach is great, has its private, no animal encounters. Great for picnics too."
Miami,July 2016,50,Matheson Hammock Park,lmg2727,"One of my favorite spots in Miami. Great for children of all ages, very family oriented, quite and a great place to enjoy with family and friends. "
Best Kept Secret In Miami Beach,June 2015,50,North Shore Open Space Park,Secretcustomer25,"North Shore Open Space Park is really the beach and what a Beautiful uncrowded, even when its crowded beach is great. They call it a park because they have BBQ pit, and restrooms and some exercise stuff. The beautiful beach is six to ten feet away. Don't trust me the next time you are in Miami Beach you tell me!"
Nice and quit beach,August 2016,40,North Shore Open Space Park,r4m1n,As nice as the south beach but less crowded. If you prefer busy beach go to the mid/south beach. Most restaurants are also at south beach.
"I love this mall, it is so different even just to walk around",December 2012,50,The Falls Shopping Center,denise c,This is an open air mall with Macy's and Bloomingdale's as their main department stores.  They also have Williams-Sonoma and Crate and Barrel along with many other great stores for anything you might need to buy.  They have evening concerts on weekends and a lot of good restaurants.  The mall is surrounded by small waterfalls and during the holidays the decorations are beautiful.
Great place to shop and visit,December 2012,40,The Falls Shopping Center,Jrprez,"It's also just a pretty outdoor mall and is a great place to stroll through with a date, especially at Christmas time.  "
The worst transportation connection ever experienced,February 2013,10,The Falls Shopping Center,Manoela  Talula V,Never again!
Easy shopping,February 2013,40,The Falls Shopping Center,Rosalie D,They offer an excellent variety of stores to choose from. 
Great Mall but watch out for thieves,April 2013,20,The Falls Shopping Center,NoRInBath,"This is an open air mall with Macy's and Bloomingdale's. They have the upmarket stores such as Pandora, Abercrombie and Hollister. As it is open air it is comfortable to shop in. Before we went we looked at all the reviews and decided that it was in a good area with security guards around the place. We decided to stop off on our way to the airport. We left our car for 40 minutes and when we returned it had been cleaned out. All of our suitcases had been pulled through the smashed drivers window. The car was less than 50m from Macys front door yet there was no vidoe footage as apparently according to the security guards there arent any video cameras there. I watched the security guards who ride around on bicycles but not through the carpark just around the perimeter of the shops. We met another customer there who had bought a TV and put it into his car at the same Mall when he came back the car had been broken into and the TV taken. He and we, were sure we had been watched as the windows in the cars were blacked out. this was not a one off incident in this Mall and they need to take security more seriously."
Nice outdoor Mall,September 2016,50,The Falls Shopping Center,Ana U,"The Falls is a great, nice, convenient, beautiful and big shopping mall!! You have to know that since it's an open kinda mall you have to go as comfortable as you can. They have in the middle of all the mall a beautiful water landscaping, so if your not into shopping you could just go sit and relax!! The only detail that was off for me and my family was the restaurants locations, They are all spread out and I couldn't find a food court....had to walk a lot to find a restaurant that for my taste was a little to expensive!! Don't get me wrong, food was great but when you go shopping sometimes you just want and need fast food because of your time!! "
Great place to outdoor mall shop,October 2016,50,The Falls Shopping Center,Marlon N,Has big name stores like Macys and Nordstrom and also has regular stores like pandora and apple. it is nice for a mall because it is outdoor. there is a movie theater there as well. 
Great shopping mall,August 2016,50,The Falls Shopping Center,davidgZ8895DN,"Great place to spend time with someone. Amazing decorations. Has a lot of known stores like pandora, apple, Macy etc. "
Don't go in the water,July 2015,20,Matheson Hammock Park,Jerry P,"As a local, none of us ever go there.  Too many other places to get you're feet wet.  Please don't go in that water."
At the Atoll - nice & quiet,April 2016,40,Matheson Hammock Park,Renee L,"We have here twice during our visit. It's nice having a contained, quiet area for the kids to play. A beach within a beach. Water not too deep until you get far into the middle. The second day we were there the waves had stirred up so much of the muck that was at the bottom that the water looked murky and not as nice as the first day we went. My son did not mind! Nice palm trees offering shade. Restrooms right on site - and a changing area/outdoor shower near the parking lot.It's only a short walk from the parking lot to the Atoll. Recommended if you want a quiet place to relax on the sand near the water."
Great Quaint Beach...When you find it,May 2016,30,Matheson Hammock Park,tamanishajohn,"After finally getting to the beach, it was beautiful. An actual beach within a beach that isn't crowded like South Beach. The atmosphere was really nice, chill, and laid back. A lot of little kids playing and just enjoying the beach, some people swimming. The floor (sand) inside of the water felt a bit sticky, but I believe that was to be expected. Other than the confusion of getting to the beach, it's a really great beach and the park seemed to have a lot of other activities as well. P.S. No beachwear permitted in Red Fish Grill...although it's next to the beach."
great views of miami,May 2016,30,Matheson Hammock Park,France R,"atoll beach, nice restaurant and picnic area, however cleanliness is lacking.  the kids are protected and the beach is lifeguarded. best aspect is the location, which affords a fantastic view of the sea, the palm trees and miami beach in the distance."
Beach area!!,April 2016,30,Matheson Hammock Park,lalocadr19,"Park does not have a biking/walking trail. The park does have roads that have access to beautiful beach, fishing area,and amazing forest area great for picture. Price for entrance $7.00"
BEST VENUE FOR A CONCERT!,February 2017,50,The Fillmore Miami Beach at the Jackie Gleason Theater,C7226DKmariar,"I also recommend you leave plenty of time to get there, especially if there are events going on in Miami Beach.  The traffic can get kind of crazy!"
I love this place,September 2011,50,The Falls Shopping Center,Keiko96,Very well kept up mall. When we lived in the Miami are we used to shop here all the time. Even as a visitor we still shop there. The stores are more higher end so if your looking for budget shopping this place doesn't really have it.
visiting the Falls,June 2012,50,The Falls Shopping Center,lori46Orlando,"Went by the Falls Shopping Center Mall to visit and drop off package for a relative of a friend of ours, who has a jewelry store located at the Falls, his store is called Mr. Fix It and is located near   Bloomingdale and a new store that is going in next to him called American Dream Girl. It's going to to a big store. We have not been to the Falls since we moved from there to Orlando area.  The Falls has changed and its even more beautiful and so many stores and places to eat and go to the movies.  We had a great visit and enjoyed walking around seeing the water fountains and flowers."
The Falls - open-air mall,May 2012,50,The Falls Shopping Center,KrysiaK,The Falls is one of my favorite places to shop in Miami because it combines great shopping and restaurants with a pleasant outdoor shopping experience; this mall features top department stores and specialty stores. This mall has benches near an outdoor waterfall.
Good venue in terrific location ,February 2017,40,The Fillmore Miami Beach at the Jackie Gleason Theater,Pomerols,"The Jackie Gleason theater (The Filmore) is a great venue and we go there regularly.  Saturday night, I was lucky enough to see Sting!  The theater is older, with not enough bathrooms for women (very very long lines)  but the acoustics are amazing.  Also great is the wide space between rows with comfortable seats.  We always like to arrive early and park at the 17th street garage.  While valet parking is available, it takes forever to get your car back.  We also like to walk on Lincoln Road (a few yards away) and have dinner at one of the many nice restaurants found there.  The traffic is horrendous but that South Beach..."
A class experience,February 2017,50,The Fillmore Miami Beach at the Jackie Gleason Theater,angelak336,"Great location. Nice venue. A standard with locals, and hopefully you are lucky enough as a tourist to visit it. They have great shows, from varying styles."
Great place,November 2016,50,The Fillmore Miami Beach at the Jackie Gleason Theater,Jennifer R,This place has some great performers that come through here. Just be sure to have good seats and look up before you purchase your tickets. I would definitely recommend this place to anyone. 
COZY VENUE,December 2016,40,The Fillmore Miami Beach at the Jackie Gleason Theater,629denisev,Love this venue its a part of old south beach and all the seats are good seats since the venue is not huge.
Nice place,November 2016,50,North Shore Open Space Park,mmikko,"A nice beach and park, a place for bbq or picnic. Lots of people, but still nice and relaxing place."
Good park for boaters,October 2015,40,Matheson Hammock Park,Grant K,This is mostly a miring park with a small swimming lagoon suitable for small children. There is a nice restaurant with a limited menu at night
Picturesque setting,December 2015,40,Matheson Hammock Park,dizziest1,"Visited right before sunset, there were several engaged couples with their photographers taking photos, so you know it's a beauty. When I was a child and lived in Coral Gables this was a popular place to wade in the cove. Not sure how popular the swimming is now, since we were there in the winter. The pay booth was unattended when we arrived and it was a quiet location, perfect spot to take a walk, run, or bike ride, and enjoy the spectacular views of Miami and the bay. Go, enjoy a natural setting and unwind when you need a respite from the crowded Miami Beach glitz."
Great family park!,February 2016,50,Matheson Hammock Park,RumRunner65,"Beautiful scenery and wildlife, great safe swimming in a lagoon especially for kids, nice grass areas and beach."
Nice family water hole,June 2015,30,Matheson Hammock Park,Erick J,Make sure you get there early so you can settle under the trees and get some shade.
great old time park,February 2016,50,Matheson Hammock Park,T2408RErobertm,"swim, sunbath, fish, watch the boat, bike, walk the sandbar, nature trails, picnic"
Fabulous,December 2016,50,North Shore Open Space Park,miami305,"Great outdoor space. Singles, couples & families can all have a wonderful time her. Wide, open space with lots to do. Well maintained,"
David Cooperfield,November 2015,50,The Fillmore Miami Beach at the Jackie Gleason Theater,mario v,Jackie Gleason theater has always been a hot spot in Miami. i went to watch david cooperfield perform many years ago and also a few plays more recently. the place has it's years but has been very well maintained and taken care off. on the outside there's nothing to see but the inside matters
Love the venue! And I am a LOCAL!,June 2016,50,The Fillmore Miami Beach at the Jackie Gleason Theater,Ana S,"Great organization, ample room and strong AC! I saw Chelsey HAndler and many local school plays and such"
Cigala concert,October 2016,50,The Fillmore Miami Beach at the Jackie Gleason Theater,trifi98,security was great
