review,travel_date,place,title,usr_code,rating
"The environment is beautiful. The staff were pretty rude though which was a turnoff. We have been to ALOT of breweries and this is among the first that charges for samples. The beer was ok, nothing to write home about.",July 2016,Wiseacre Brewery,"Some good, some bad",Jocelyn W,40
This place has a great feel.  Outside seating is really nice.  The train can be very loud.  The beers are mixed. Adjective Animal is a very good IPA.  I found the stout to be average. No tastes so don't ask.  You will need to pay for tastes.  This is different than other breweries that I've frequented although this could be a local law????  I would check this place out. It is the best brewery in Memphis.,September 2016,Wiseacre Brewery,Cool Brewery in Memphis,TravelerNFoodie,40
No flight tasting. Only 7 ounce tastes starting at $1.75 each. No coasters. No napkins. The girl behind the counter handed me a bar towel. Indifferent staff. Almost felt like we were bothering them. IPA is tasty. Won't be back.  ,October 2016,Wiseacre Brewery,Disappointed. Reviews were better than actual experience. ,Brenda O,30
"My husband is the beer drinker.  He says the beer here is excellent.  They sell only their beer.  No guest taps.  No wine.  No other alcohol.  This gets an average rating, because no beer alternatives.  I don't want to go back to a place where there is no wine.  They do have soft drinks if you are ok with that.  It was also a good place for live music.  You will want to check their schedule for that.  Parking is available on site.",November 2016,Wiseacre Brewery,"Good beer, no wine",carlinda6665,30
"We went for a birthday party and really had a good time. The most memorable part was the dark room, which stimulates a room filled with smoke.",July 2014,Fire Museum of Memphis,Fire Museum,Lenabell901,40
Tried to visit twice but both times they were having private events. We had driven 30 minutes to get there. There was no warning or notice on the website. Call before you go. We won't be going back.,April 2015,Fire Museum of Memphis,Might be good if you could get in,CindyD2000,20
I don't know if I'd spend the money but with a 5 year old totally into fire trucks still he enjoyed it. Small but interactive things for the kids to do. The best part was quite a bit of it was designed to teach them fire safety. ,August 2015,Fire Museum of Memphis,Ok,Sconietraveler,30
"Since they close at 4:00, we only had a few minutes there. It was free today (Wed.) ~ the staff was very sweet and kind. I was able to find a few amazing pieces and their gift shop had a nice array of items. I do recommend visiting it! Any art is worth a visit!",April 2015,Memphis Brooks Museum of Art,"Small Museum, nice sampling of art",Katrina S,30
"was informative and eye opening.  ""Cats and Quotes"" was small but fun.  Worth a visit.",March 2015,Memphis Brooks Museum of Art,Great little museum,Neil C,50
of many 19th century majors a modest contemporary collection. In a beautiful park setting adjacent to theMemhis college,April 2015,Memphis Brooks Museum of Art,Since average second tier museum,pen1,30
"They have a nice sampling of art from all different periods and styles - quite a few major names.  We particularly enjoyed the Civil Rights Photography retrospective - really captures the spirit of that movement.  Also, wonderful restaurant for Sunday brunch!",April 2015,Memphis Brooks Museum of Art,Civil Rights Photography Amazing,Dee948,50
"Good, interesting exhibit for history buffs and non-history buffs as well. Numerous displays, with walk-through models of various ships.",April 2016,Mississippi River Museum at Mud Island,Interesting exhibit,Writestuff33,50
A Trip To Mud Island Is Worth The Time.  They Have A Museum That Gives A History Of The Mississippi River And Is Worth A Visit.,April 2016,Mississippi River Museum at Mud Island,Nice Place To Visit,BJ562016,50
"From the 1940s and into the 21st century, Ernest Withers took over a million photographs, many of which are still being documented and archived.  This museum is clearly a labor of love that brings some of his best images together in a representative sampling of his photographic themes, most notably the Civil Rights movement, music, and sports.  It was both educational and jarring to see photos of National Guard soldiers and tanks right on Beale Street, in the aftermath of a race riot - but that's just one of many surprises offered in this superb collection.  The red couch, table, and carpet in the above photo are all gone, replaced with a welcome desk and an area displaying souvenirs, but the full brick wall on the right hits many of the well-known and lesser-known touchstones of the Civil Rights movement, featuring Mr. Withers' photographs of a bus boycott, voting rights issues, Little Rock, several of Dr. Martin Luther King and his aides in a display of a good 50+ photos.  The left wall and a room in the back focus on African-American performers in music and dance, and a back wall is dedicated to a Negro baseball team in Memphis, and other sports.  Admission is standardly $10/person, but they were offering free admission and a gift for Thanksgiving weekend.  I had lengthy chats with the museum director and a staff member named Jermaine, both of whom were friendly and quite knowledgeable regarding the exhibit.  The exhibit refreshingly blows up each photograph to a larger-than-customary size, so it's possible to see these in greater detail than in many books or websites, and also provides a large panel or two of narrative for each section, to set the context of the photos.  It's astounding the sheer diversity and number of people Mr. Withers has photographed. This is an important archive, and anyone seeking to bolster their visit to Beale Street with some good old American history should step inside and see what they have to offer.  Since the museum is still documenting and archiving Mr. Withers' work, the admission fee hardly covers that cost - so they do actively encourage purchasing items, but not in an overbearing way.  This is a welcoming space, an excellent stop on a day of pouring rain like today - but well worth seeing in any kind of weather.  I am a historian who has done archiving and research, and have visited all 50 states.  This is a must-see for any tourist to Memphis.",November 2015,Withers Collection Museum & Gallery,"Documenting the Civil RIghts movement, music, and more, in stunning photography",David M,50
This beautiful home is a step back in time.I have taken guests here on several occasions.Once it was decorated as a family in mourning when the yellow fever had taken its toll. Once it was resplendent in Christmas decor. A historic and possibly haunting experience. Not to be missed if you like old homes and their history. Beautifully done and a reasonable price.,May 2014,Woodruff-Fontaine House,Victorian Village Mansion,Sandi P,50
"Lots of good information about Memphis...Super Friendly staff.. We were helped by Tamara, John and Harris, and they all gave us many good tips and info about our visit. Free Parking as well..",September 2017,Tennessee Welcome Center,Great First Stop in Memphis!,rjdonolin,50
"Here you can take the tours, infirmation, near downtown, river boats, geouges areas, parks, pyrsmids",October 2017,Tennessee Welcome Center,A must.... Because,575richardm575,40
"While there is a great view of the Mississippi River and Mud Island, other than the statues of Elvis and BB King, there isn't much to see or do.  Nice walking path around property.",September 2017,Tennessee Welcome Center,Nice views of the Mississippi River,Gibsoninpa,30
The welcome center is huge with many references for where to go and how to get there. The staff was also very helpful. There is also a great statue of Elvis and one of B.B. King.,September 2017,Tennessee Welcome Center,Good place to start.,Mark R,50
"If you're touring the area and want ideas of where to visit and perhaps a leaflet explaining more about an attraction you have in mind, this is the place to go. Hundreds of leaflets available and staff on hand to guide you in the right direction. Also 2 huge statues in the foyer to admire.",September 2017,Tennessee Welcome Center,Plenty of information,Tosca1962,40
"There is so much variety in craft beers today, it is hard to tell what you are going to get, based on beer type, ABV, and IBU.  Most taprooms will give you a little taste before deciding on a beer.  But not here, which is why I ding them one star.  They will sell you a ""taster"" glass of about 3 ounces.  We had 3 tasters and loved two out of three.",March 2017,Wiseacre Brewery,Can I have a taste?,footloosefogey,40
"It has been a while that I have been to Wiseacre.  I was happy to see more beers available, including a great Schwartzbier.  The festival was very good, we enjoyed a good variety of foods and goods there.  Great facility that lends itself for good outdoor events like this.",April 2017,Wiseacre Brewery,Kaleidoscope Festival at Wiseacre,PKPollard,40
Wiseacre Brewery is a really cool brewery. We lived in Memphis for 3 years without knowing that it was there! The atmosphere is really laid back and the beer is superb. It's a good thing we don't live in Memphis anymore or we'd be there all the time!,May 2017,Wiseacre Brewery,Great Brewery,rivergirl25,50
We went on the tour with Krebs. She was very knowledgeable & funny! All 4 beer samples tasted great & the beer garden looked like a fun party place. We will definitely be back. ,May 2017,Wiseacre Brewery,Fun & great beer!,kathyh1116,50
"First off ya start off with beer, really do ya need to read more? What if I told you that was followed by three more? Ok so the science behind the brews and actually learning something made it even more entertaining. You will never see yeast the same way, it's not just for biscuits apparently make sure the yeast is happy and drinks will flow a plenty. ",May 2017,Wiseacre Brewery,Beer and science with a side of yeast poop,johnrA9958OK,50
"It is a great place for kids and adults!!  Go and see the antiques, learn history, learn how quickly a fire takes over a home and feel the flame.",November 2014,Fire Museum of Memphis,Fun Adults and Children,julieannaw2015,50
"This little gem of a museum is a really nice attraction for kids as well as adults. We got a tour by an old firefighter, who really knew his stuff. despite the fact that we thought it would be mediocre, and perhaps even boring, we left the museum thinking that it was one of the best decisions we made for our entire stay in memphis. Sweet and very friendly staff",September 2015,Fire Museum of Memphis,Fun and insightful,MiaRaun,40
The Memphis Fire Museum was a short walk from the hotel and takes about 2 hours to go through.  The entrance fee was reasonable ($10 adult).  The history of the fire service in Memphis was well presented and very interesting.  They do a lot of community outreach to school age children in the local area and ran into a couple of classes.  I'm glad I stopped by!,November 2015,Fire Museum of Memphis,Interesting Tourist stop,Harry E,40
"My family was only in Memphis for the day last Christmas break enroute to Dallas, but when our fireman-obsessed toddler discovered this museum across the street from our hotel, of course we had to check it out. Turns out it's easily the best one we've ever visited. As luck would have it, not only was Fireman Sam working that day, but the museum was virtually empty since it was a Monday morning, so he literally got a private tour with Fireman Sam, which included dressing up in full gear, ""driving"" to a fire in a 1967 LaFrance pumper, putting out a virtual fire in the arcade, a room with a simulated kitchen fire (the room actually heated up), an escape maze, etc. plus loads of large and small-scale displays with everything from fire brigade buckets to rows and rows of antique helmets. It was such a fun morning that of course we didn't want to leave, but the fire hat and badge he took home (and still proudly wears and displays prominently in his room) serve as a constant reminder of not only all the fun he had in Memphis, but how truly selfless and courageous firefighters are. I'm convinced Fireman Sam's generosity and kind spirit are a big reason our trip to this fire museum is one of his earliest memories. I hope we can visit again one day.",December 2014,Fire Museum of Memphis,By far the best fire museum we've ever visited + my toddler's first memory!,Nina M,50
The museum is easy to navigate--just the right size to enjoy the different galleries. The main exhibits change often meaning there is always something new to see. The restaurant is very nice with a simple menu.,March 2015,Memphis Brooks Museum of Art,Easy to Navigate,AClarke625,40
"Enjoyed the video game exibit as well as the permanent exibits. Free for military is pretty awesome, beautiful architecture. ",July 2015,Memphis Brooks Museum of Art,Fun Quick Visit,Carolyn L,40
"  For those who visit museums like the High Museum of Art, Guggenheim, Whitney, or Art Institute of Chicago may be disappointed by the size and depth of the collection, but I feel it's a good fit for Memphis",July 2015,Memphis Brooks Museum of Art,Small good museum!,airlink9972,40
Amazing works of art from multiple periods and eras. I would say this museum is a miniature version of the MET. Top off your visit with a walk in the park and/or a visit to the zoo. ,August 2015,Memphis Brooks Museum of Art,Wonderful gem in Memphis,Robert L,50
"We thought we'd be in and out of the museum in just a few minutes, but we found it to be well laid out with very interesting info on the Mississippi river and the river boats.  We especially enjoyed the different models of the river boats and the type used during the civil war.  Expect to be in the museum for at least an hour.",May 2016,Mississippi River Museum at Mud Island,Very interesting and bigger than expected,Linda M,40
"great learning about the mississippi river. Museum was great, didn't spend much time exploring the outside, due to the heat. Eat before or after you leave, food is basic amusement park food.",June 2016,Mississippi River Museum at Mud Island,informative,Sheila L,40
We took out of town guests to visit the museum and park. It was very informative and the staff was courteous and friendly. We especially enjoyed walking the length of the river walk and locating cities and towns along the way. Seeing the wall showing how many states it drains is always impressive.,June 2016,Mississippi River Museum at Mud Island,First time to visit in over twenty years,hairs2you,50
"What a very interesting trip through the history of the river and its people! Really good exhibits, interactive and imaginative. Really worth spending a few hours wandering around and taking it all in.",April 2016,Mississippi River Museum at Mud Island,Mississippi Museum,shazzzalongley,40
"Artsy, laid-back, fun with fabulous restaurants like Sweet Grass and Alchemy. Great bars- Young Avenue Deli and Celtic Crossing.",October 2011,Cooper-Young Historic District,Best local scene,alimallory,50
"Cooper Young Historic District is a quaint little area, looks like something out of a fairy tale, especially at night!! Just beautiful. ",October 2011,Cooper-Young Historic District,Seems like another world!!,eallen116,40
Visit this area in Memphis if you want away from the hustle and bustle of downtown. More laid back atmosphere. Plenty of watering and eating holes are in the area.,October 2011,Cooper-Young Historic District,A break from the norm,chundell,40
"There is some pressure to purchase copies of the photos, but it is mild, inoffensive, and understandable (this is how they keep this very worthwhile place going, as I understand it).  If you are averse to such things, I would still say you should visit-- the historical perspective and education afforded by these pictures is too great to miss.",October 2015,Withers Collection Museum & Gallery,"Like they said: great museum, great people, great photos",FlorinadianPrivateer,50
"We walked into this quite by accident. The gallery is full of photos taken by Ernest Withers. These are stunning photos depicting the history of civil rights in Memphis, the Memphis music scene and the Memphis Red Sox baseball team. The photos really tell a story. Withers, the photographer, captured the spirit of people who's civil rights were denied and suffered the consequences. They are not sad photos but show people determined to gain their place in society. These photos tie in well with a visit to the Civil Rights Museum. This is a must see while wandering down Beale St in Memphis. They also have a website that shows a number of the photos if they're not open when you go there.",May 2016,Withers Collection Museum & Gallery,Photo gallery covering the civil rights movement and much more,Larry R,50
"The photographs is this exhibit are stunning and unforgettable. Give your self an hour  to look, go get lunch then come back for another hour. Withers was Dr MLKs personal photographer and his images put you right in the middle of this history and make it happen today for you. The family who was evicted living in a tent for registering to vote. the bruise on Tina Turner's arm singing her hear out while Ike stares her down. Actual cameras used by Withers. Take time to look at the photos go on donation day so your entry goes to developing more images. This is a beautiful tribute by Withers daughter to show his work and his work is worthy of time to look at what he was trying to show us. Thank God for this exhibit. I hope it ends up in your heart. I've narrowed it down to 3 photos I want in my home.",June 2016,Withers Collection Museum & Gallery,Miss V and Cameron will hand you a tissue and talk heart and soul when this exhibit gets to ya,Leslieann111,50
"We stumbled upon the Withers Collections and Gallery and are grateful we were pulled in. It's a remarkable collection from a prolific  and talented Memphis photographer who captures the heart and soul of Memphis in his work. His work is well worth seeing and Miss V, along with the rest of the staff, are knowledgable and passionate about their city. Go visit...it's a must see!",July 2016,Withers Collection Museum & Gallery,Heart and History of Memphis,Erigenia W,50
"While there in April, I learned of the Urban Barn Mkt to be held on the grounds in May.  My husband & I attended for lunch & shopping on Mother's Day.  It was very well done & lovers of vintage items should definitely watch for it in 2016.",April 2015,Woodruff-Fontaine House,tour gives excellent feel for life in Memphis in Victorian era,snowtraveler49,40
Before touring round pop in and get all the details you need. Very helpful staff but remember not to touch Elvis.,November 2017,Tennessee Welcome Center,All you need to know,Joe193,50
If you need info on what to do in Memphis you should make a quick stop here. The staff were very friendly and they brochures and maps galore.,February 2017,Tennessee Welcome Center,Nice stop,AtokaTravelGuru,50
"We called here before visiting any attractions.  There were staff behind the desk to answer questions, lots of information booklets as well as information on the walls. We did not need to book anything as that had been sorted by the tour company.  There were statues of Elvis and BB King, good washrooms, but what I was intrigued by was what looked like a very long spiral staircase in the middle.",December 2017,Tennessee Welcome Center,First stop,Linda N,50
"Needing ideas and directions to get around, we spent about an hour in the Welcome center to get some ideas of where to go and how long things would take to do.  Lots of literature to take.",January 2017,Tennessee Welcome Center,Great place to start your Memphis Trip !!,DannyWasserman,30
"This is a great place to start a tourist visit, and we were quickly greeted by a female staff member who turned to to be invaluable to us, with great advice and guidance on what to see in Memphis. This gave us a plan which enabled us to then see all of our required sites in our four hour window. ",December 2017,Tennessee Welcome Center,Excellent knowledge of staff ,Steve B,50
Wiseacre is a nice place to hang out with friend and family. The atmosphere is very laid back. There are about 8-10 diffferent beers to try. My favorite is the Tiny Bomb. This is a must visit place when in Memphis Tennessee. ,May 2017,Wiseacre Brewery,Drink:30 somewhere,69abrilr,50
My daughter and I treated my husband to the tour for fathers day. He is a home brewer and he thoroughly enjoyed it. He even commented on how knowledgeable the girl who led the tour was!,June 2017,Wiseacre Brewery,Great Father's Day.,TBlank423,50
"Great tour, great people, great beer! So the location isn't the best, but the train Is fun when it goes through!  Have visited this brewery many times and the food trucks are always yummy!  Nice large outdoor area with tables, benches and cornhole.",May 2017,Wiseacre Brewery,The best in town!,Ann N,50
Krebs did a great job. Very cool place. Keep it up Wiseacre. Long live the Gotta get up to get down!,June 2017,Wiseacre Brewery,Great job,Criedell,50
"This is a great rainy day activity as it's nearly all inside.  Very lovely people made you feel welcome and we especially enjoyed the fire room where you got to experience what it would be like if a kitchen fire started in your home, amazed at how quickly it escalated!  Thank you very much. ",March 2016,Fire Museum of Memphis,We enjoyed our visit,Nikdog,50
"Attention all Firefighters, this Museum is wonderful! from the very beginning of the Fire Service until modern day! Great for Families, Couples and Seniors!",May 2015,Fire Museum of Memphis,Great FIRE FIGHTING HISTORY,nursegraf,50
"Coming from a family of firefighters, this was a ""must see"" on our list of things to do so we really enjoyed our time here.",October 2015,Fire Museum of Memphis,Awesome!,Christine B,50
We found it by accident just walking around but our brother in law is a retired fire fighter so we went inside and so glad we did.  So clean and cool.  We didn't take the tour but looked around and had a nice souvenir shop.  Just a short walk from the Mississippi River.  ,March 2016,Fire Museum of Memphis,Way Cool Place,TexasBeachLovers,50
A great building but in a area not too sure the whole area needs looking at regeneration is a must but for fire men please visit the station and see the the hall of fame for those who gave their lives,March 2016,Fire Museum of Memphis,Fire dept,trolleyking,30
This museum is not large and can easily be visited in half a day.  It has a nice café and friendly staff.  The art work is nice and a few pieces are rather significant.  Overall it is worth the time to see.,October 2015,Memphis Brooks Museum of Art,Worth the visit.,PRSRES,40
"Other things, for example, the life in the South without AC, immigration of Scottish people in the early times, the music phenomenon of Memphis in the early 70’s (Midtown) and even other things that you see at the Civil Rights Museum (however they could have a different angle) would be way more interesting.  In summary, this foundation gives the impression of a “wanna-be” art-gallery and miss the opportunity of providing the visitor with a wow experience, in synch with modern cities in the world.  The way it is now, not worth it going.",October 2015,Memphis Brooks Museum of Art,It is OK,Cannuck1964,20
"Loved it. We spent a couple hours there after riding through the park with its beautiful large trees. It is not a large museum, yet it is very well done.",November 2015,Memphis Brooks Museum of Art,"Very nice art museum in a large park, across from the art college.",David908,50
"I love art and was pleased with my visit at this museum. The art is presented very nicely. Good place to walk, take ones time and enjoy some wonderful art.",November 2015,Memphis Brooks Museum of Art,Good museum,jlantern3,40
"A very nice setting that frames the well-done Memphis Zoo and a better than average Brooks Museum of Art. However, be prepared to face possible safety concerns, open drug use and public sexual activity in this park.",October 2010,Overton Park,"Lovely, but....",FrasierC,30
Great location; Memphis Zoo right there!!  Will go back year after year.,October 2010,Overton Park,Great place for picnic.,carliss c,50
When you enter the museum you start on a journey of discovery from the first people through to modern day. The displays are excellent including detailed displays of the Civil war.To give you a look and feel that is also a full size River boat to walk through. After the museum we had a relaxing walk along the River walk and traveled back on the monorail. All in all it was a very pleasant time at Mud island.,May 2016,Mississippi River Museum at Mud Island,Museum of Life on the Mississippi River,grmakin,50
We were pleasantly surprised by this lovely museum offering a wonderful look into the history of the River and the river boats that rode up and down these waters.,July 2016,Mississippi River Museum at Mud Island,Lots to see and do - for young and old alike,Laurie N,50
"Ride the monorail over and wade through the Mississippi River replica! I remember going as a kid and it was fun to take my own child there. It could use some renovations, but on a hot day it's a good way to cool off a bit. ",July 2016,Mississippi River Museum at Mud Island,Fun and interesting ,Kara J,40
"Mud Island is a really neat place to visit. The model of the Mississippi River is an amazing design and engineering achievement that really conveys a sense of how important the river is to that area of the US. It's neat to walk along and see all the cities, plus the kids there seem to enjoy wading in the river. It's $10 for the monorail ride and visiting the museum, which is a great deal. The museum has lots of interesting displays and was a great air-conditioned retreat on a very hot day. ",July 2016,Mississippi River Museum at Mud Island,Worth a visit,VC842,40
"It is an interesting walk through time with snippets of history at spots along the river to read about, including how the river has changed course over time.",July 2016,Mississippi River Museum at Mud Island,"Closed on Mondays, came back Tuesday July 26",raybyerley,40
If you want a good people watching area with plenty to eat and drink this is the area for you. Like any other area in a city this busy area is safe if you stay where the crowds are as with any large city do not wander down the side streets.  ,August 2012,Cooper-Young Historic District,Restaurants A Plenty,Rickywork,40
"This is a great place to visit if you prefer a laid back night out to the ott excesses of the likes of Beale Street. There is a mix of smaller cafe type venues and bars as well as eateries. We went to a brilliant bar that I cannot remember the name of but it was huge, with pool tables at the rear, and had the widest range of beers I have ever seen. It may have been the Young Avenue Deli - it has the best bar man in town. Highly recommended!",October 2012,Cooper-Young Historic District,Never mind Beale Street - this is where the locals go!,loumcd,50
I really enjoyed the few days I stayed here in the Pilgrim House right off Cooper and Young. Several nice places around and within walking distance. The neighborhood was a little disappointing and run down. Overall had a great stay. Java Cabana was awesome. :),October 2012,Cooper-Young Historic District,Interesting local flavor,Kelley D,40
I visited the gallery and spent about two hours there. The staff were most helpful. They gave information on the photos and also showed a video for me. I walked all around in each room and was just amazed at the history that Dr. Withers captured. He had his eye on the times and had a special gift for photography. The images can explain what words could never hope to express. What a legacy- thank you family for protecting this body of work and sharing it with the world. This was the very first place I visited on Beale St. and it was awesome.,July 2016,Withers Collection Museum & Gallery,Dr. Wither's Eye On History,Sylvia S,50
"Just happened to be walking by when a gentleman offered us a viewing! Had no idea what we were going to be looking at.  Hundreds of photographs on display of historical events to include Martin Luther king, sporting events and musical events.  All black & whites...each photo told an important story in American history that we are all too busy to visit! After speaking with the man in charge discovered that all the photographs were taken by his grandfather Ernest Withers and it is his mission to share his grandfather's legacy. Beautiful family story. Said over a million photos to go through so the exhibit will continue to grow! Awesome gem on Beale Street!",September 2016,Withers Collection Museum & Gallery,Unexpected Gem of a find!,hollyj836,50
"seeing the pictures as they depict history is an awesome journey, you see history as it if you were there, and then to know that Mr. Withers took your first baby picture is more an awesome...you will truly enjoy how he captures everything thru a lens. ",May 2016,Withers Collection Museum & Gallery,awesome history,MzzZee,50
Our attention was drawn by the photos in the shopwindow and we were invited in by one of the people working there. A very interesting exhibit for anyone who has an interest in the American civil rights movement. Also some great photos of mostly African American musicians (but also Elvis e.g.). Entry was only 5 USD when we visited (normally 10 USD).,September 2016,Withers Collection Museum & Gallery,Interesting and unexpected on Beale Street,Liliane V,40
"We were walking along Beale Street on a Saturday night - crowd was getting rowdy and it was kind of hot.  Our group of 8 was looking for something other than going into a bar.  We lucked into finding this collection of an amazing photographer who captured much of the Civil Rights movement in and around Memphis - including the demonstration on Beale Street which ended in a riot in the days just before the assassination of Dr. King at the Lorraine Motel in Memphis.  On the night we went in, it was ""pay what you want admission.""  While Beale Street has become a party spot in Memphis, this gallery reminds us of the history of what occurred not just in Memphis for the advancement of civil rights but on this very street.  Doesn't take long but is certainly a worthy stop on Beale.",September 2016,Withers Collection Museum & Gallery,Beale Street Surprise,JWilguess,40
"We thought our tour guide was amazing, I think they are local college students volunteering. The staff was very friendly and fun to talk with.",June 2015,Woodruff-Fontaine House,Outstanding tour,Todd G,50
Waited here for a tour we booked so we had a few minutes to browse.  Very clean facility with lots of info on things to do and history of Memphis and Tennessee.  Neat statues of BB King and Elvis on display as well.  Worth a stop!,March 2018,Tennessee Welcome Center,Very Informative Facility,Kristen_M022412,50
"We were walking back to Beale from Bass Pro Shop Pyramid when we happened upon the Welcome Center. Nicely done, with cool sculptures of Elvis & B.B.",April 2018,Tennessee Welcome Center,Nice Drop in Visit,John D,40
Y'all are in for a treat when you visit MEMPHIS! Enjoy your stay!! :)),April 2018,Tennessee Welcome Center,All things MEMPHIS,Itsjacquelinew,50
Great welcome center with a wonderful statue of B.B. King and an ok one of Elvis. The staff was great and there is a wealth of helpful information to get you ready to see Memphis.,April 2018,Tennessee Welcome Center,Great place to start ,Maddox1000,50
the welcome center was the pick up point for my tour. the people were pleasant and helpful. restroom were clean,May 2018,Tennessee Welcome Center,beautiful,flcoppen,50
"I went for my birthday, it was very educational. I wish I taught high school so I could bring my kids. It was smaller than I thought, but the more beers, the bigger it got. lol",September 2017,Wiseacre Brewery,Chill,birthdaygirl423,50
Great information on the craft brewing process. Enjoyed the samples provided. Staff is super friendly!,September 2017,Wiseacre Brewery,Very informative,landons622,50
Shelby's tour was entertaining and very knowledgeable. The vibe at Wiseacre was great and hanging around the taproom and drinking was a great time. Would definitely recommend as a day tome activity to anyone in the Memphis area!,October 2017,Wiseacre Brewery,Great day time activity!,klobrien02,50
Our tour guide was adorable and shared facts we didn't know about brewing beer. The beers were very good even though I'm not a beer person. It's a cute place to sit around for a beer with plenty of parking available ,November 2017,Wiseacre Brewery,Fun brewery experiece,Beth L,50
Visited on 7/8/2016. Started off with a warm greeting from the staff. History of the Memphis Fire Department is well represented. We enjoyed the fire room (simulated fire) to the hands on exhibits. My son loved playing on the fire trucks (okay I did too)! Easily worth the price of admission.  As a bonus a dalmatian service dog was there when we were.,July 2016,Fire Museum of Memphis,Highlight of my son's visit,Rhodes1104,50
My teenage son is a firefighter and wanted to check out this museum on our yearly trip to Memphis.  I have to say I wasn't excited to go but once we got there I was glad we went.  There is so much history packed into this museum.  Highly recommend everyone visit whether you have an interest in firefighting or not.  We will definitely make sure we make it back for another visit in the future.,July 2016,Fire Museum of Memphis,Really neat museum,andsumm,50
"This is one of the best museums in the country.  For anyone that has a interest in the history of the fire service this is a ""must see"".  The museum is very well organized and very complete.",May 2016,Fire Museum of Memphis,A must,Glenn S,50
"We were very surprised at how nice this visit was. The kids had a ton of fun and so did we. If you are in the downtown Memphis area do yourself a favor and stop by, the stop only takes about an hour.",August 2015,Fire Museum of Memphis,Well worth the stop.,jimwN6879EM,50
If you like firetrucks or wish to educate youngsters in your family you will truly enjoy this attraction.  It is a relatively small museum but the content is excellent and well-maintained.,July 2016,Fire Museum of Memphis,A hidden gem,panaxq,40
"The museum itself is average. Nothing outstanding, just your typical art museum. Although, there is currently an exhibit in the basement showcasing art from highschoolers around the mid south. You must go check this out. The quality of the pieces are extraordinary. Many different mediums. Really one of a kind exhibit. Wish there were more of these around the country/ the world. ",February 2016,Memphis Brooks Museum of Art,Go check the Scholastic's mid south high school exhibit,epeeling,40
"The collection is small enough to not overwhelm you if you are not an art fan, yet large enough to get some exposure to some beautiful pieces of art.  There are some fun things for the little ones to do too.  There was a quiet out of the way area that had things to entertain young ones, as well as when we were there a special exhibit on architecture which had some great building materials for the kids to play with.  There are several areas to sit and just admiring the artwork.  It took us about 2 hours to see the whole collection.  And we had ages 13 to 80 with us, and everyone enjoyed themselves.",January 2016,Memphis Brooks Museum of Art,"Lovely collection, something for everyone. FYI  backpacks, etc. not allowed inside",OuCilly,40
Only complaint is that the restaurant was closed temporarily but than info was not shared on the phone recording when we called to check the hours.  ,February 2016,Memphis Brooks Museum of Art,Great afternoon,grits_are_good,40
"Always clean and quite, a good place to get away from the cacophony of the city and enjoy some art. ",November 2015,Memphis Brooks Museum of Art,"Beautiful,",Tnearl,50
Not the type of park I would expect from such a large city. It seems Memphis is full of under-cared-for property compared to other cities its size and scope in the country.,May 2012,Overton Park,Not Up to Speed,Sandi G,20
"Just out Poplar from downtown (around 1900 block).  Golf course, Zoo, Art Museum are all in the park.  Also plenty of open spaces and wooded walks/runs.  Just opened a dog park, also.  Mostly free parking, except at the Zoo.",February 2013,Overton Park,Huge Greenspace near downtown,Hurley S,50
"Great place to spend the day. Pleasant groves of trees, expansive green space. Near the zoo and Leavitt Shell for concerts. Picnics are a must.",August 2012,Overton Park,Beautiful park,James H,40
"Overton Park is in midtown Memphis. It is about 340 acres and contains a zoo, art museum, art school, 9 hole golf course, Rainbow Lake, a veteran's plaza, and an old growth forest. There are walking trails through the forest with signs describing many of the trees. The park is named for Judge John Overton, who co-founded Memphis along with Andrew Jackson and General James Winchester.",May 2013,Overton Park,A nice park with a zoo,Steve G,50
"Fenced in dog park area. Big grassy field just waiting for a frisbee. Rolling greens of a golf course. Art museum, art college & an amazing zoo. I lived across the street from it for years, and still love visiting it every time I'm in Memphis. Nice little natural bubble in the middle of mid-town! A great destination, just a few blocks from mid-town restaurants.",March 2014,Overton Park,Primordial hardwood forest in the heart of the city,AnnmarieG215,50
"Great for families! An educational tour of the muddy Mississippi. There is a guide throughout the tour to provide a narrative of the river from past to present. The first floor is air conditioned with a snack bar for hot dogs, chips, beer, etc. There is a steep walk to board the cruise. Wear comfortable shoes.",July 2016,Mississippi River Museum at Mud Island,Rolling on the River,Pickyeaterallthetime,30
"For those into museum's its a good go. After you can go walk down to the park and walk all over/in the Mississippi river scale model. Many kids splashing away in the water. Was a interesting visit, and a nice day strolling around. Not for everyone, but we thought it was well presented.",August 2016,Mississippi River Museum at Mud Island,"Well done museum, very cool river boat display.",RAD1965,40
"It's a very nice museum.  Very family friendly-I love the interactive river lay-out that people can walk, follow and play in. The steamboat is impressive.",June 2016,Mississippi River Museum at Mud Island,mississippi River museum,Beth B,30
Take some aqua socks because that is rock/concrete and it would be easier on your feet.  I would visit again.,June 2016,Mississippi River Museum at Mud Island,Nice park,C P,40
"If you pay $10, $9 if you're a senior this will include a pass for the museum.  Well worth the trip and very affordable, lots of history and a stroll along the steam boat and the civil war battles is so work it",August 2016,Mississippi River Museum at Mud Island,Wonderful,lindakerr8,50
